arxiv_id,title,first_submitted,primary_category,D1,D2,D3,D4,D5,D6,D7_code,D7_data,D8,D9,needs_fulltext,evidence
2402.00071,Unraveling the Impact of Initial Choices and In-Loop Interventions on Learning Dynamics in Autonomous Scanning Probe Microscopy,2024-01-30,cs.LG,FRAMEWORK,NA,EXP_DESIGN;EXECUTION;ANALYSIS,MATERIALS,BENCHMARK_METRIC,REPRO_ARTIFACTS,YES,NO,METHOD,CO_PERFORMER,0,'we introduce an approach of the seed point interventions in AE allowing the operator to influence the exploration process'; 'The analysis code ... is publicly available at https://github.com/...'; evaluated on an existing PFM dataset of PbTiO3 thin films.
2402.04247,Risks of AI Scientists: Prioritizing Safeguarding Over Autonomy,2024-02-06,cs.CY,POSITION,NA,NA,OTHER,NONE,NONE,NO,NO,CONCEPTUAL,UNSPECIFIED,0,"'This perspective examines vulnerabilities in AI scientists'; 'we propose a triadic framework involving human regulation, agent alignment...' — no system or empirical evaluation."
2402.05200,Are LLMs Ready for Real-World Materials Discovery?,2024-02-07,cond-mat.mtrl-sci,POSITION,NA,NA,MATERIALS,NONE,NONE,NO,NO,CONCEPTUAL,UNSPECIFIED,0,"'In this position paper, we show relevant failure cases of LLMs in materials science'; 'we outline a roadmap'."
2402.12391,Toward a Team of AI-made Scientists for Scientific Discovery from Gene Expression Data,2024-02-15,q-bio.GN,SYSTEM,L1_STAGE,ANALYSIS,BIOMED,BENCHMARK_METRIC,NONE,NO,NO,CAPABILITY,UNSPECIFIED,0,"'TAIS comprises simulated roles ... These roles collaborate to replicate the tasks typically performed by data scientists' covering 'data selection, processing, and analysis'; 'we have curated a benchmark dataset to assess TAIS's effectiveness'."
2402.14424,Automating psychological hypothesis generation with AI: when large language models meet causal graph,2024-02-22,cs.AI,SYSTEM,L1_STAGE,LITERATURE;IDEATION,SOCIAL_SCI,HUMAN_EXPERT,NONE,NO,NO,CAPABILITY,EVALUATOR,0,"'We analyzed 43,312 psychology articles using a LLM to extract causal relation pairs'; 'we generated 130 potential psychological hypotheses ... compared them against research ideas conceived by doctoral scholars'."
2403.13815,Autonomous microARPES,2024-02-16,cond-mat.mtrl-sci,SYSTEM,L3_CLOSED_LOOP,EXP_DESIGN;EXECUTION;ANALYSIS,PHYSICS,REAL_WORLD,NONE,NO,NO,CAPABILITY,UNSPECIFIED,0,'we implement a protocol to autonomously search both k- and real space'; 'This autonomous experimental control is implemented on the SGM4 micro-focus beamline of the synchrotron radiation source ASTRID2'.
2404.02831,Empowering Biomedical Discovery with AI Agents,2024-04-03,cs.AI,POSITION,NA,NA,BIOMED,NONE,NONE,NO,NO,CONCEPTUAL,CO_PERFORMER,0,"'We envision ""AI scientists"" as systems capable of skeptical learning'; 'biomedical AI agents combine human creativity and expertise with AI's ability...' — envisioned, not demonstrated."
2404.04326,Hypothesis Generation with Large Language Models,2024-04-05,cs.AI,SYSTEM,L1_STAGE,IDEATION;ANALYSIS,GENERAL_ML,BENCHMARK_METRIC,NONE,NO,NO,CAPABILITY,UNSPECIFIED,0,"'we generate initial hypotheses from a small number of examples and then update them iteratively'; 'improving accuracy by 31.7% on a synthetic dataset and by 13.9%, 3.3% and, 24.9% on three real-world datasets'."
2404.07738,ResearchAgent: Iterative Research Idea Generation over Scientific Literature with Large Language Models,2024-04-11,cs.CL,SYSTEM,L2_PIPELINE,LITERATURE;IDEATION;EXP_DESIGN;REVIEW,MULTI,LLM_JUDGE;HUMAN_EXPERT,NONE,NO,NO,CAPABILITY,EVALUATOR,1,"'This system automatically defines novel problems, proposes methods and designs experiments, while iteratively refining them based on the feedback from collaborative LLM-powered reviewing agents'; 'validated ... across multiple disciplines, showing its effectiveness ... based on both human and model-based evaluation results'. Human gating vs full autonomy of the loop not stated."
2404.08680,Automating Research Synthesis with Domain-Specific Large Language Model Fine-Tuning,2024-04-08,cs.CL,SYSTEM,L1_STAGE,LITERATURE,OTHER,REAL_WORLD,PROVENANCE,NO,NO,CAPABILITY,UNSPECIFIED,0,'automating the final execution stages of an SLR process that involves knowledge synthesis'; 'validated through the replication of an existing PRISMA-conforming SLR'; 'proposed mechanisms for tracking LLM responses to their sources of information'.
