arxiv_id,area,claim_id,claim_type,claim_text,verdict,evidence,level_reached,note
2504.03160,A6_deep_research,c1,ARTIFACT_RELEASE,"""We release DeepResearcher at https://github.com/GAIR-NLP/DeepResearcher"" and ""We open-source our complete training framework to the research community.""",SUPPORTED,"github.com/GAIR-NLP/DeepResearcher (branch main, only branch): README.md, train_grpo.sh, evaluate.sh, the verl RL trainer tree (verl/trainer/main_ppo.py, verl/trainer/ppo/core_algos.py), the agent rollout loop (scrl/llm_agent/generation.py), and the real-web tool stack (scrl/handler/handler.py, scrl/handler/web_search_agent/, scrl/handler/reading_agent/). NOTE: the repository field supplied with t",R2,The end-to-end training framework named in the paper is present and inspectable in the repository the paper points to.
2504.03160,A6_deep_research,c2,ARTIFACT_RELEASE,The trained DeepResearcher agent (Qwen2.5-7B-Instruct backbone trained with GRPO in a real web environment) is released.,SUPPORTED,"README.md of GAIR-NLP/DeepResearcher links the model release at https://huggingface.co/GAIR/DeepResearcher-7b; I fetched that Hugging Face page, which lists the model as Qwen2.5-7B-Instruct-derived with safetensors BF16 weight files.",R2,I verified the README pointer and that the Hugging Face repo page lists weight files; I did not download or run the weights.
2504.03160,A6_deep_research,c3,DATASET,"""we constructed a final training dataset of 80,000 examples with a distribution ratio of 1:1:3:3 for NQ:TQ:HotpotQA:2Wiki"" (multi-hop = 75% of examples).",DIVERGENT,"data/train.parquet, counted deterministically with pyarrow (pq.read_table -> num_rows and a Counter over the data_source column): total rows = 80,000 (matches); per-source counts = nq 10,000, tq 10,000, hotpotqa 35,077, 2wiki 24,923. The paper's stated 1:1:3:3 ratio implies 10,000 / 10,000 / 30,000 / 30,000; the released file is effectively 1 : 1 : 3.51 : 2.49.",R2,"Total size and the 75% multi-hop share (60,000 of 80,000) match exactly; only the HotpotQA-vs-2Wiki split differs from the stated 3:3."
2504.03160,A6_deep_research,c4,DATASET,"""we randomly sample 512 examples from the development sets of NQ, TQ, HotpotQA, 2Wiki, MuSiQue, and PopQA as well as all 125 samples from Bamboogle's development set.""",SUPPORTED,"data/test.parquet, counted deterministically with pyarrow: 3,197 rows total, with data_source counts nq 512, tq 512, hotpotqa 512, 2wiki 512, musique 512, popqa 512, Bamboogle 125 - exactly the composition stated in Section 5.2.1.",R2,"The released evaluation split reproduces the paper's sampling design exactly, including the 125 Bamboogle items."
2504.03160,A6_deep_research,c5,METHOD_COMPONENT,"""We adopt Qwen2.5-7B-Instruct as the backbone ... training is conducted using the verl framework. At each training step, we sample 256 prompts, and sample 16 rollouts for each prompt. Each rollout consists of up to 10 tool calls ... with a mini-batch size of 4,096,"" using GRPO.",SUPPORTED,"train_grpo.sh: model path Qwen/Qwen2.5-7B-Instruct, data.train_batch_size=256, agent rollout n=16, max turns=10, ppo_mini_batch_size=4096, search engine set to online_search; the repository is a verl fork (VERL_README.md, verl/trainer/main_ppo.py, verl/trainer/ppo/core_algos.py, examples/grpo_trainer/).",R2,Every hyperparameter named in Section 5.1.1 appears with the same value in the released training script.
2504.03160,A6_deep_research,c6,METHOD_COMPONENT,"Reward is -1 if the output format is incorrect, and the word-level F1 score against the reference answer if the format is correct.",SUPPORTED,"verl/utils/reward_score/format_and_f1.py returns -1.0 when tag balance fails or the <answer> tag is missing, and otherwise the token-overlap F1 (f1 = 2 * precision * recall / (precision + recall)), taking the max over acceptable answers; dispatched from verl/utils/reward_score/__init__.py for the QA data sources and consumed by verl/workers/reward_manager/naive.py.",R2,"The two-branch reward of Section 3.4 is implemented literally, including the -1 penalty value."
2504.03160,A6_deep_research,c7,NUMERIC_RESULT,"Table 1 and Table 2 scores for DeepResearcher, e.g. TQ 78.4 F1 / 85.0 MBE, 2Wiki 59.7 / 66.6, Bamboogle 71.0 / 72.8, PopQA 48.5 / 52.7.",NOT_LOCATED,"Searches performed: full recursive file listing of GAIR-NLP/DeepResearcher via the GitHub trees API (recursive=1) on the only branch, main (confirmed via the branches API) - no results/, outputs/, logs/, scores/ or leaderboard directory, and no rollout .json/.jsonl output files are committed; directory listing of evaluate/ via the contents API returns only cacluate_metrics.py (the scoring script, ",R2,"The scoring pipeline is shipped and rerunnable - evaluate/cacluate_metrics.py computes F1 and the model-based evaluation with gpt-4o-mini as judge, matching Section 5.2.3 - but no per-dataset score file or evaluation log is committed, so the table values themselves could not be evidenced; separately"
2504.21776,A6_deep_research,c1,ARTIFACT_RELEASE,The code is available at https://github.com/RUC-NLPIR/WebThinker.,SUPPORTED,"RUC-NLPIR/WebThinker, public, 233 tracked paths on branch 'main' (GitHub trees API, recursive=1): README.md, requirements.txt, scripts/run_web_thinker.py, scripts/run_web_thinker_report.py, scripts/prompts/prompts.py, scripts/prompts/prompts_report.py, scripts/evaluate/evaluate.py, scripts/evaluate/evaluate_report.py, scripts/search/bing_search.py, data/, outputs/, demo/.",R2,"The repository bundled with this task record was project-numina/aimo-progress-prize (the URL from reference [25], NuminaMath), not the paper's own artifact, so all verification here was done against the repository the paper actually names."
2504.21776,A6_deep_research,c2,ARTIFACT_RELEASE,"WebThinker is trained with RL on QwQ-32B and, via cold-start SFT plus RL, on DeepSeek-R1 backbones at 7B, 14B and 32B (WebThinker-32B-RL, WebThinker-R1-7B/14B/32B).",SUPPORTED,"README.md links four checkpoints; I confirmed each exists via the Hugging Face API rather than only reading the pointer: lixiaoxi45/WebThinker-QwQ-32B (14 model-*.safetensors shards, lastModified 2025-05-01), WebThinker-R1-7B (12 files), WebThinker-R1-14B (14 files), WebThinker-R1-32B (22 files).",R2,"The four released checkpoints correspond one-to-one to the trained variants the paper reports; I verified the repos and their weight files exist, not that they reproduce the paper's scores."
2504.21776,A6_deep_research,c3,METHOD_COMPONENT,A Deep Web Explorer module lets the LRM issue follow-up searches and navigate pages by clicking interactive elements such as links or buttons before returning a concise output to the main reasoning chain.,SUPPORTED,"scripts/prompts/prompts.py defines get_deep_web_explorer_instruction(search_query, search_intent, search_result) with the two elementary actions as special tokens <|begin_search_query|>/<|end_search_query|> (search again) and <|begin_click_link|>/<|end_click_link|> (access page content), plus get_click_web_page_reader_instruction and get_click_intent_instruction; driven by scripts/run_web_thinker.",R2,The released implementation navigates by clicking link URLs; button clicking specifically is not a separate code path I located.
