arxiv_id,layer2,pass3,agree
2510.22312,include,include,1
2606.31831,include,include,1
2505.23559,include,include,1
2402.17168,exclude,exclude,1
2605.24018,include,include,1
2512.02195,exclude,exclude,1
2604.10741,include,include,1
2510.16080,include,include,1
2507.05495,include,include,1
2505.16982,include,include,1
2411.08804,exclude,exclude,1
2512.19799,include,include,1
2411.14456,include,include,1
2605.27935,exclude,exclude,1
2508.08331,exclude,exclude,1
2605.30961,include,include,1
2604.13346,exclude,exclude,1
2509.22502,exclude,exclude,1
2602.21230,include,include,1
2412.16160,exclude,exclude,1
2510.26354,exclude,exclude,1
2606.11897,include,include,1
2607.19935,exclude,exclude,1
2607.03863,include,include,1
2607.05456,include,include,1
2510.18003,include,include,1
2603.22376,exclude,include,0
2601.04577,include,include,1
2401.13481,exclude,exclude,1
2603.20101,include,include,1
2511.12529,exclude,exclude,1
2402.06359,exclude,exclude,1
2603.18897,exclude,exclude,1
2607.09059,exclude,exclude,1
2603.15726,include,include,1
2605.02669,include,include,1
2511.19399,include,include,1
2505.20779,include,include,1
2502.19519,exclude,exclude,1
2605.11518,include,include,1
2506.04478,exclude,exclude,1
2604.02279,exclude,exclude,1
2401.15284,exclude,exclude,1
2506.10268,exclude,exclude,1
2510.14861,include,include,1
2511.22018,exclude,exclude,1
2507.15759,include,include,1
2606.29717,include,include,1
2505.17873,include,include,1
2409.05258,include,include,1
2603.20278,include,include,1
2605.23917,include,include,1
2604.09793,include,include,1
2605.11154,exclude,include,0
2412.13645,exclude,exclude,1
2510.00890,exclude,exclude,1
2407.09905,exclude,exclude,1
2607.01152,exclude,exclude,1
2605.15011,include,include,1
2506.12317,include,include,1
2603.29557,include,include,1
2604.13699,include,include,1
2507.06185,include,include,1
2506.05999,include,include,1
2601.03315,include,include,1
2605.09534,exclude,exclude,1
2606.22883,exclude,exclude,1
2508.13421,include,include,1
2511.16931,include,include,1
2502.01059,exclude,include,0
2603.19712,exclude,exclude,1
2502.14499,include,include,1
2604.25256,include,include,1
2601.05574,exclude,include,0
2508.03963,include,include,1
2607.20468,exclude,include,0
2601.16344,include,exclude,0
2412.09385,exclude,exclude,1
2512.17259,exclude,exclude,1
2512.19753,include,include,1
2606.08301,include,include,1
2606.00644,include,include,1
2602.21351,include,include,1
2605.06607,include,include,1
2607.17291,include,include,1
2510.17826,exclude,exclude,1
2604.14683,include,include,1
2604.11307,include,include,1
2411.06590,include,include,1
2604.05557,include,include,1
2503.19941,exclude,exclude,1
2601.03743,include,include,1
2603.28336,include,include,1
2604.03553,exclude,include,0
2604.28031,include,include,1
2604.15727,exclude,exclude,1
2411.11731,exclude,exclude,1
2503.23170,include,include,1
2605.21482,include,include,1
2504.10415,include,include,1
2505.12031,exclude,exclude,1
2512.23707,include,include,1
2605.18752,exclude,exclude,1
2607.04391,exclude,exclude,1
2503.22978,exclude,exclude,1
2604.01354,include,include,1
2508.00554,exclude,exclude,1
2509.14778,include,include,1
2607.07779,include,include,1
2604.01007,include,include,1
2606.21401,exclude,exclude,1
2604.19189,exclude,exclude,1
2512.20491,include,include,1
2606.24026,include,include,1
2406.04383,exclude,exclude,1
2502.14297,include,include,1
2509.23426,include,include,1
2603.20088,exclude,exclude,1
2511.18423,exclude,exclude,1
2604.20441,include,include,1
