arxiv_id,area,claim_id,claim_type,claim_text,verdict,evidence,level_reached,note
2404.07738,A7_ideation,c1,ARTIFACT_RELEASE,Code: https://github.com/JinheonBaek/ResearchAgent (footnote 1) - the ResearchAgent system is released as code.,SUPPORTED,"README.md; code/main.py; code/pipelines/research_pipeline.py; code/pipelines/agents/ (problem_identifier, problem_validator, method_developer, method_validator, experiment_designer, experiment_validator); code/knowledge/store.py; data/papers.jsonl, data/knowledge.jsonl, data/references.jsonl",R2,Full end-to-end pipeline code plus input data is present; README's runnable example defaults to gpt-4o while the paper's experiments used the Nov 2023 GPT-4 release.
2404.07738,A7_ideation,c2,METHOD_COMPONENT,An entity-centric knowledge store counts entity co-occurrences across papers and retrieves top-k external entities by approximating P(ei|E) as the product of P(ej|ei) terms times a prior P(ei) (Equation 2).,SUPPORTED,"code/knowledge/store.py - KnowledgeStore builds entity_counter and entity_cooccurrence from data/knowledge.jsonl; get_entity_log_likelihood sums log2 of conditional co-occurrence probabilities and adds log2 of get_entity_probability (the prior), then torch.topk selects top-k (default 30) candidates",R2,"The inspected code is a direct implementation of the paper's Equation 2 retrieval, including the count-based conditional probabilities and entity prior."
2404.07738,A7_ideation,c3,METHOD_COMPONENT,"LLM-powered ReviewingAgents evaluate each of problem, method, and experiment design on its own five criteria and provide reviews and feedback used for iterative refinement of ideas.",SUPPORTED,"code/pipelines/agents/problem_validator.py - inspected in full: exactly five criteria (Clarity, Relevance, Originality, Feasibility, Significance) matching Figure 2's problem criteria, each run in parallel with a 5-point Likert prompt returning Review/Feedback/Rating; method_validator.py and experiment_validator.py exist in the file listing; code/pipelines/research_pipeline.py orchestrates generat",R2,The problem validator's five criteria and 1-5 Likert rubric with feedback correspond exactly to the paper's ReviewingAgent design; the method and experiment validators were verified at file-listing level.
2404.07738,A7_ideation,c4,DATASET,"The entity-centric knowledge store is built from papers from May 01, 2023 to Dec 31, 2023 (from the Semantic Scholar API) along with their references, which number 50,091 in total.",SUPPORTED,"data/papers.jsonl (6,417 lines) + data/references.jsonl (43,674 lines) = 50,091 papers exactly; data/knowledge.jsonl (37,903 lines) holds per-paper extracted entity multisets keyed by corpusid, e.g. {""corpusid"": 257687556, ""knowledge"": {""F-theory"": 1, ...}}",R2,"The two released paper files sum to exactly the paper's stated 50,091; knowledge.jsonl covers 37,903 of these with entity extractions, consistent with some papers yielding no entities (empty knowledge dicts also appear)."
2404.07738,A7_ideation,c5,DATASET,"High-impact papers (more than 20 citations, appearing after May 01, 2023) were sampled down to a subset of 300 papers used as core papers for the benchmark dataset.",DIVERGENT,"data/papers.jsonl contains 6,417 paper records with Semantic Scholar metadata, and no file or field in the 21-file listing marks which 300 were the sampled benchmark core papers",R2,"The repository releases the full candidate core-paper pool (6,417) rather than the specific 300-paper evaluation subset the paper describes, so the benchmark composition is not directly recoverable."
2404.07738,A7_ideation,c6,NUMERIC_RESULT,"ResearchAgent scores 4.52 / 4.28 / 4.18 on problem / method / experiment versus 4.20 / 4.03 / 3.92 for the ablated variant without entities and references (Tables 2 and 4), and outperforms all baselines on every metric.",NOT_LOCATED,"Searches performed: scanned the complete 21-file listing for results, outputs, scores, ratings, or generated-idea files (no results/ or outputs/ directory exists); checked code/main.py, which writes generated ideas to ./results/ideas.jsonl at runtime, but no such file is committed; checked README.md, which documents no released outputs or evaluation numbers; data/ contains only the three input fil",R2,"The repo ships the machinery to regenerate ideas but no generated idea sets, evaluation logs, or score tables from which the reported numbers could be checked."
2404.07738,A7_ideation,c7,EXTERNAL_VALIDATION,"Ten expert researchers (each with at least 3 papers) judged ideas generated from their own papers, with high inter-annotator agreement (e.g., 0.83 Spearman for problem scoring) and high human-model agreement.",UNVERIFIABLE,"Searches performed: reviewed the complete file listing for annotation spreadsheets, human rating data, or agreement computations (only code/utils/evaluation.py exists among evaluation-related files, and no annotation data files are present in data/)",R1,"This is a human-rating study whose raw judgments were not released, which is the expected pattern for this area; the repository is not the kind of artifact that evidences it."
2408.05086,A7_ideation,c1,ARTIFACT_RELEASE,Details about the implementation and open model release can be found in Section A (the paper claims an open release of its implementation and trained models).,UNVERIFIABLE,"The repository associated with this record is github.com/huggingface/transformers (README.md inspected: it is the Hugging Face Transformers library README, Apache-2.0, 'State-of-the-art pretrained models for inference and training'). This is a general-purpose library the paper uses as tooling, not the paper's own artifact. Searched the full file listing for 'dative', 'childes', 'pilk', 'zorro', 'b",R2,"Repository-paper mismatch: the linked repo is the transformers library, not the paper's release; likely a mundane extraction error in repo association."
2408.05086,A7_ideation,c2,METHOD_COMPONENT,"The authors trained OPT-architecture autoregressive LMs (8.4M parameters; 8 layers, 8 attention heads, vocab 8192, embedding size 256) on the AO-CHILDES BabyLM split for 10 epochs, reporting results over 5 random seeds, with a novel-verb learning procedure that adds a 'pilked' token embedding and updates only that embedding.",UNVERIFIABLE,"Searched the associated repository's complete file listing (huggingface/transformers, 6342 files) for 'dative', 'childes', 'pilk', 'zorro', 'babylm' - no matches. The linked repository is the generic Transformers library and could not evidence this paper-specific training and simulation code.",R1,"The claim is of a kind a paper-specific repo would evidence, but the linked repo is not the paper's artifact."
2408.05086,A7_ideation,c3,DATASET,"The exposure stimuli comprise 756 possible feature configurations per dative construction, 8 sampled items per configuration, and 3 givenness templates, yielding 36,288 items in total; generalization sets contain 160 DO and 95 PO sentences derived from AO-CHILDES validation/test data.",UNVERIFIABLE,"Searched the associated repository's file listing for 'dative', 'stimuli', 'pilk', 'childes', 'generalization' style paper-specific paths - none present. The linked repository (huggingface/transformers) is not the paper's artifact and cannot evidence released stimulus sets.",R1,Released stimuli would be checkable in the paper's own repo; that repo is not the one associated with this record.
