arxiv_id,area,claim_id,claim_type,claim_text,verdict,evidence,level_reached,note
2504.03810,A9_research_infrastructure,c1,ARTIFACT_RELEASE,"The paper proposes a hierarchically encapsulated representation for protocol design implemented using Domain-Specific Languages, plus a data-driven algorithm that automatically generates these DSLs for a domain; the work is presented as an implemented, runnable system ('we implement the representation using Domain-Specific Languages', 'we develop an algorithm that conducts multi-hierarchy encapsul",UNVERIFIABLE,"The record's repository field is {""error"": ""no resolvable repository""} — there is no owner/repo/URL to open. Searches performed: (1) regex grep over the full supplied paper_text for /github|gitlab|http|code is available|zenodo|available at/i — zero matches; (2) WebSearch for '""Hierarchically Encapsulated Representation for Protocol Design in Self-Driving Labs"" code github' — returned arXiv, OpenRe",R0,"Not a statement about the paper's quality: with no locatable repository, correspondence checking is impossible for this claim."
2504.03810,A9_research_infrastructure,c2,NUMERIC_RESULT,"Automatic function abstraction yields, per domain DSL: Genetics 304 operations with an average of 7.9 interface instances per operation; Medical 269 and 6.9; Bioengineering 196 and 7.8; Ecology 100 and 3.5.",UNVERIFIABLE,"No repository resolvable (repository field = {""error"": ""no resolvable repository""}), so no generated DSL files, operation tables, or run logs can be counted. Searches: grep of paper_text for repository/URL markers (no matches); WebSearch for a code release (none found); WebFetch of the arXiv HTML v1, which confirms these exact figures in the paper body but reports no availability statement. Verifi",R0,"The counts are internally consistent between the supplied text and the arXiv HTML, but nothing external to the paper can evidence them here."
2504.03810,A9_research_infrastructure,c3,NUMERIC_RESULT,"Automatic model abstraction yields 17,190 model states (product flow unit statuses) for Genetics, 12,472 for Medical, 11,418 for Bioengineering, and 2,205 for Ecology.",UNVERIFIABLE,"No repository resolvable; no product-flow DSL artifacts, state dumps, or convergence logs exist to inspect. Searches performed as in c1 (grep of paper_text for URLs; WebSearch for a code release; WebFetch of https://arxiv.org/html/2504.03810v1). The arXiv HTML confirms the same four figures appear in the paper; it reports no code/data availability statement.",R0,"Claim could only be checked against generated DSL outputs, which are not released anywhere I could locate."
2504.03810,A9_research_infrastructure,c4,METHOD_COMPONENT,"Function abstraction is performed by hierarchical non-parametric modeling — a Dirichlet Process Mixture Model with level-by-level sampling, integrating a Gaussian Process for continuous configuration values (phi^exec-v | phi, varphi, phi^exec ~ DP(alpha, H(phi^exec), varphi, phi) x GP(m, K)) — followed by an interface unification step.",UNVERIFIABLE,"No repository resolvable, so no sampler, DPMM/GP implementation, or unification routine can be inspected. Searches: grep of the supplied paper_text for any code URL (no matches); WebSearch for an associated GitHub repo (none); WebFetch of the arXiv HTML asking for an availability statement (none reported). Equations 1 and the DP x GP formulation are present in the paper text only.",R0,"The method is fully specified in prose and equations, but there is no code artifact against which to check the implementation."
2504.03810,A9_research_infrastructure,c5,METHOD_COMPONENT,"The dual representation supports reciprocative verification (Alg. 1: OFVERIFICATION / PFVERIFICATION), with LLMs implementing CHECKOPCONDITIONS and CHECKPROPERTIES via in-context learning, using prompts given in Appendix D.6.",UNVERIFIABLE,"No repository resolvable, so the verification procedure and the LLM prompt templates cannot be read as released files. Searches: grep of paper_text for URL/availability markers (no matches); WebSearch for a code release (none found); WebFetch of https://arxiv.org/html/2504.03810v1, which reports no repository link (it does note an appendix section 'F Reproducibility' whose body was not returned). ",R0,"Prompts appearing in a paper appendix are paper content, not artifact content, so this cannot be settled as a correspondence check."
2504.03810,A9_research_infrastructure,c6,DATASET,"A domain-specific corpus C of existing protocols published in top-quality journals is used per domain (sources and profiles detailed in Appx. E.1), and a testing set is reported with per-domain protocol and step counts for planning, modification and adjustment (e.g. Genetics planning 10 protocols / 130 steps; Modification 37 / 442; Adjustment 23 / 219).",UNVERIFIABLE,"No repository resolvable, so neither the corpus, the derived instance-action extractions, nor the planning/modification/adjustment test splits can be enumerated or counted. Searches: grep of paper_text for /github|gitlab|http|zenodo|available at|code is available/i (zero matches); WebSearch for a code or data release (none found); WebFetch of the arXiv HTML v1 requesting the Appendix E.1 corpus so",R0,"Underlying protocols are third-party journal content, so even with a repository the corpus might be redistributable only by reference."
2504.03810,A9_research_infrastructure,c7,NUMERIC_RESULT,"There are about 150K instance actions per domain but only about 1K operations per domain, i.e. operations are roughly 1/150 of the instance actions.",UNVERIFIABLE,No repository resolvable; the instance-action extraction output that would license a ~150K count is not available to inspect or tally. Searches: grep of the supplied paper_text for repository/URL markers (no matches); WebSearch for an associated code release (none found); WebFetch of https://arxiv.org/html/2504.03810v1 confirming no code/data availability statement. Noted for a future reader: the ,R0,"Order-of-magnitude framing in the text sits loosely against the paper's own per-domain counts, but no artifact exists to adjudicate it."
2506.03444,A9_research_infrastructure,c1,ARTIFACT_RELEASE,Code and data are available at an anonymous repository (footnote 1: https://anonymous.4open.science/r/correlation_prior-3473/).,DIVERGENT,"The URL printed in the paper no longer serves content: GET https://anonymous.4open.science/r/correlation_prior-3473/ redirects to the site API and GET https://anonymous.4open.science/api/repo/correlation_prior-3473/files/ returns HTTP 410 with body {""error"":""repository_expired""} (checked 2026-07-31). An equivalent public artifact exists under the authors' lab organisation at https://github.com/The",R2,"Code and data are genuinely released, but not at the location the paper cites; the anonymised link has expired."
2506.03444,A9_research_infrastructure,c2,DATASET,"We curate a benchmark of 2,096 real-world variable pairs, combining 96 retained Cause-Effect pairs with 2,000 Kaggle pairs obtained by stratified sampling of 200 per |r| bin; each entry has two variables, their descriptions, a dataset summary and the observed Pearson correlation.",SUPPORTED,"benchmark/real_world_correlations.csv contains exactly 2096 data rows with columns pair_id, var1, var2, dataset, dataset description, ground_truth, r_obs, p_val, var1_desc, var2_desc, cleaned_dataset_description, dataset_id. Splitting on pair_id gives 2000 rows prefixed 'kaggle' and 96 rows with Cause-Effect style ids (pair0001 ... ), i.e. 2000 + 96 = 2096. README.md documents both sources (Cause-",R2,Row counts and per-source split match the paper exactly.
2506.03444,A9_research_infrastructure,c3,METHOD_COMPONENT,"LCP builds a discrete prior from the LLM's output logits over the value field, then smooths it with a weighted sum of Gaussian kernels truncated and renormalised to [-1,1], using a validation-tuned kernel standard deviation sigma* = 0.4.",SUPPORTED,"src/priors/lc_prior.py implements the truncated Gaussian-kernel mixture: posterior_pdf() computes sum_i p_i N(r | r_i, sigma) divided by the truncation mass Z over [-1,1] and zeroes density outside [-1,1]; posterior_quantiles() and get_summary_stats() derive the mode and the 2.5/97.5 percentiles used for 95% credible intervals. The logit/top-k token decoding that produces the (value, probability) ",R2,Algorithm 1's smoothing/truncation step and the sigma = 0.4 value are both present in code.
2506.03444,A9_research_infrastructure,c4,NUMERIC_RESULT,"LCP achieves 78.8% sign accuracy, mean absolute error 0.26, 95% credible-interval coverage of 89.2%, and reduces average information content from 0.69 (uniform) to 0.27, on the 2,096-pair benchmark with GPT-4o.",SUPPORTED,"README.md prints the example output of eval/process_results.py with LCP at sign accuracy 0.788, error 0.26+/-0.27, information content 0.27+/-0.82, 95% coverage 89.2% (and Uniform 0.69, Gaussian 4.10/49.1%, KDE 1.73/59.9%), matching Figure 3. Recomputing the same metrics directly from the released per-pair distributions in outputs/real_world_correlations/real_world_correlations_gpt-4o_lc_prior_ite",R2,Headline numbers reproduce from the released outputs to within rounding (89.3% vs 89.2% coverage).
2506.03444,A9_research_infrastructure,c5,NUMERIC_RESULT,"On the Nexus/Chicago pool of 115 correlations containing 15 expert-flagged ones, ranking by LCP gives Precision@5 0.60, Precision@10 0.80, Precision@15 0.60 and average rank 21.5 for expert-labelled correlations; the four bike-dock correlations all rank in the top 6 and the library-visitors/circulation correlation ranks 95th.",DIVERGENT,"The pool matches exactly: benchmark/chicago_correlations.csv has 115 rows with hypothesis=True for 15 and False for 100. The retrieval procedure is in eval/interesting_hypotheses.py (rank by ascending density at r_obs, bw=0.4, LCPrior.ignore_zero=True). Recomputing that ranking over outputs/chicago_correlations/chicago_correlations_gpt-4o_lc_prior_iter_0.csv gives Precision@5 0.20, Precision@10 0.",R2,"Average rank is in the reported neighbourhood but Precision@K recomputes well below Table 1; the released file is a single iter_0 run made months after the preprint, and the script also points at a since-renamed output directory (outputs/chicago_open_correlations_cleaned/), so a regenerated stochast"
2506.03444,A9_research_infrastructure,c6,NUMERIC_RESULT,"On 84 Cause-Effect pairs given contradictory (counterfactual) contexts, LCP attains 95.2% sign accuracy and absolute error 0.30 against the negated observed correlations, versus 46.4% and 0.55 for the uniform prior.",SUPPORTED,"benchmark/counterfactual_correlations.csv contains exactly 84 rows, and eval/create_contradictory_contexts.py generates the reversed contexts. Recomputing the mode-based metrics from outputs/counterfactual_correlations/counterfactual_correlations_gpt-4o_lc_prior_iter_0.csv (84 rows) at bw = 0.4 yields sign accuracy 0.952 and mean absolute error 0.30, matching Table 2.",R2,Both the 84-pair count and the two headline Table 2 numbers reproduce exactly from the released outputs.
2506.03444,A9_research_infrastructure,c7,METHOD_COMPONENT,"We compare against a RoBERTa correlation classifier evaluated zero-shot and fine-tuned on 20% of the benchmark, retrained separately for each correlation threshold (0.5, 0.6, 0.7, 0.8).",SUPPORTED,"eval/classification_task.py implements the binary-classification comparison, and outputs/roberta_classifier/ contains test_with_predictions_train_ratio_0.0.csv (zero-shot) plus per-threshold fine-tuned prediction files test_with_predictions_train_ratio_0.2_coef_t_{0.4,0.5,0.6,0.7,0.8}.csv. README.md states the RoBERTa raw experiment data is released in that directory.",R1,"The zero-shot and 20%-training runs exist as one file per threshold, covering the four thresholds in Figure 6 (plus 0.4)."
2508.06642,A9_research_infrastructure,c1,ARTIFACT_RELEASE,"""The simulations used to create the plots in Figures 5 and 6 and the data used to create the plots in Figures 3 and 4 are available at: https://github.com/kabrownlab/benchmarking""",SUPPORTED,"Repository github.com/kabrownlab/benchmarking is public and contains both the literature table (BenchmarkingPapers.csv) and the simulation code (functions/contrast_series.py, functions/lipschitz_series.py, functions/noise_wrappers.py.py, optimization/bo_runner.py, optimization/random_search.py, optimization/multi_run.py, plots/plotting_scripts.py, utils/empirical_cdf.py, utils/bo_to_theoretical_ef",R2,Both halves of the data-availability statement have a corresponding artifact in the repository.
2508.06642,A9_research_infrastructure,c2,NUMERIC_RESULT,"""the reported AF spanned a wide range, from 1.3 to 100 ... The median reported AF was 6.""",SUPPORTED,"BenchmarkingPapers.csv (columns Case, Source, Metric, Value, Type, Dimensions, Comparison): the 35 rows with Metric=AF run from 1.3 (Nakayama et al., 2022) to 100 (MacLeod et al., 2022), and the median of those 35 values is 6 (Dave et al., 2022 row).",R2,Range endpoints and median both recomputed from the released CSV and they match the paper.
2508.06642,A9_research_infrastructure,c3,DATASET,"""Across the reviewed SDL papers, which include 42 unique studies and 63 reported benchmarks...""",DIVERGENT,"BenchmarkingPapers.csv contains exactly 63 data rows, matching the 63 reported benchmarks, but its Source column enumerates 36 distinct studies (Ament 2021 through Zhu 2024), not 42.",R2,Benchmark count matches exactly; the unique-study count in the released table is 36 versus 42 stated in the text.
2508.06642,A9_research_infrastructure,c4,METHOD_COMPONENT,"""These campaigns were executed using the BoTorch package, and the code is shared at https://github.com/kabrownlab/benchmarking""",SUPPORTED,"optimization/bo_runner.py imports BoTorch (SingleTaskGP, fit_gpytorch_model, ExpectedImprovement, optimize_acqf) and GPyTorch (ExactMarginalLogLikelihood) and defines run_bo_full_trace(f, n_steps); README.md lists gpytorch & botorch under Requirements.",R2,The BoTorch-based BO loop with a SingleTaskGP surrogate and EI acquisition is present in the released code.
2508.06642,A9_research_infrastructure,c5,METHOD_COMPONENT,"Eq. (1): random-sampling convergence follows the closed form 1/2 = F_y(y_n)^n, and simulated random campaigns ""center on the theoretical performance predicted by Equation (1)"" (Fig. 5B).",SUPPORTED,"utils/empirical_cdf.py computes target_prob = 0.5 ** (1 / n_step) and y_n = np.interp(target_prob, cdf, sorted_y), i.e. it solves F(y_n)^n = 0.5 on the empirical CDF; assets/bo_vs_rd_vs_theory.svg is the corresponding BO-vs-random-vs-theory figure shown in README.md.",R2,"The theory curve of Fig. 5B is implemented in the released utility, not merely asserted."
