arxiv_id,area,claim_id,claim_type,claim_text,verdict,evidence,level_reached,note
PAPER-1-SELF,A0_paper_1_self,dataset1,DATASET,"""from \nHarvest{} [1,426] arXiv records we screen \nScreened{} [1,359] candidates and code \nCorpus{} [807] papers"" and ""The search covered eight CS categories and the window 2022-01-01 to 2026-07-31, yielding 1,426 unique records; 1,359 fell in the codable window (first submission on or after 2024-01-01) or entered through the expert-identified route.""",SUPPORTED,"Deterministic row counts (csv module, header excluded): C:\github\arxiv-frontier\data\candidates.csv = 1426 data rows; data/screening-decisions.csv = 1359; data/screening-final.csv = 1359; data/coded-corpus.csv = 807 rows, 807 unique arxiv_ids. PRISMA flow closes exactly: of the 1426 candidates, 1357 have first_submitted >= 2024-01-01 and 69 are pre-2024; the 2 screened ids absent from candidates.",R2,Every headline corpus count is reproducible by row count and the PRISMA arithmetic balances to the record.
PAPER-1-SELF,A0_paper_1_self,dataset2,DATASET,"""Screening closed with \nCorpusVOne{} [811] included papers. Four were removed at the correction described in Section~\ref{sec:corrections}, giving the \nCorpus{} [807] papers"" / ""18 records (2.2% of the corpus) violating them ... Four papers were excluded, eleven had their autonomy code corrected upward, and three had lifecycle stages removed.""",SUPPORTED,"data/v1/coded-corpus.csv = 811 data rows; data/coded-corpus.csv = 807. data/v2-changelog.csv = 22 change rows over exactly 18 unique arxiv_ids, field counts D2 11, screening 4, corpus 4, D3 3 — matching 11 autonomy corrections, 4 exclusions, 3 lifecycle removals. The four screening reversals (2407.12888, 2501.01451, 2504.01911, 2602.22842, all include -> exclude/EC6_ASSISTIVE) are precisely the fo",R2,"The 811-vs-807 reconciliation is real and traceable paper-by-paper, not asserted."
PAPER-1-SELF,A0_paper_1_self,dataset3,DATASET,"""Full text was retrieved for \nArtAttempted{} [811] papers, of which \nArtFailed{} [2] failed to parse and are recorded as failures rather than as absences of a repository. Artifact percentages are computed over the \nArtChecked{} [805] papers that parsed.""",DIVERGENT,"data/artifact-verification.csv has 811 data rows with status counts ok = 809 and 'error: HTTPError' = 2, so 811 - 2 = 809 papers parsed, not the 805 the paper states. The 805 is recoverable only by an unstated extra step: code/analyze.py line ~365 computes ok = [r for r in coded if art[...]['status']=='ok'], i.e. it first intersects with the 807-paper v2 corpus (dropping the four v2-excluded paper",R2,The 805 figure is defensible but the prose arithmetic as written (811 minus 2) does not produce it — a residue of the 811/807 correction.
PAPER-1-SELF,A0_paper_1_self,dataset4,DATASET,"""We harvested arXiv metadata via the public API using 42 query strings in three families""",DIVERGENT,"data/HARVEST_MANIFEST.md lists 44 query rows (counted programmatically: 45 table lines beginning '| q' including the header row, i.e. 44 named queries; families qf1 22, qf2 11, qf3 11). code/harvest.py QUERIES dict contains 44 entries (grep -c '^\s*""qf' code/harvest.py = 44), each a distinct query string (singular and plural forms such as phrase(""AI scientist"") / phrase(""AI scientists"") and phrase",R2,Off by two against the released manifest and the normative harvest script.
PAPER-1-SELF,A0_paper_1_self,dataset5,DATASET,"""Quarterly output in the coded corpus rose from \firstQn{} [6] papers in \firstQ{} [2024 Q1] to \peakQn{} [241] in \peakQ{} [2026 Q2] --- roughly \growthFactor{} [40]-fold in nine quarters ... The partial quarter \partialQ{} [2026 Q3] already contains \partialQn{} [49] papers from July alone"" (Figure 1 caption: ""coded corpus, n=807"")",SUPPORTED,"Quartering first_submitted in data/coded-corpus.csv gives 2024Q1 6, 2024Q2 14, 2024Q3 16, 2024Q4 22, 2025Q1 28, 2025Q2 73, 2025Q3 79, 2025Q4 115, 2026Q1 163, 2026Q2 241, 2026Q3 49; 241/6 = 40.2 -> 40-fold. Caveat found: the quarterly counts total 806, not 807 — one row (arxiv_id 2606.02184, an expert-identified paper) has an empty first_submitted field and is silently dropped by the quarter() help",R2,Growth numbers reproduce exactly; the figure's stated n is one higher than the number of records actually plotted.
PAPER-1-SELF,A0_paper_1_self,dataset6,DATASET,"""Of the \nSystemsCoded{} [408] papers presenting a system or case study, \nClosedLoop{} [148] demonstrate a closed multi-stage loop with humans monitoring rather than gating, and only \nFullAuto{} [19] claim full autonomy from question to manuscript.""",DIVERGENT,"In data/coded-corpus.csv, D1 = SYSTEM (389) + CASE_STUDY (25) = 414 papers present a system or case study; their D2 codes are L1_STAGE 153, L3_CLOSED_LOOP 148, L2_PIPELINE 88, L4_FULL 19, UNCLEAR 6. code/analyze.py line 225 defines nSystemsCoded = sum of D2 categories excluding 'NA' and 'UNCLEAR', i.e. 408, silently dropping the 6 UNCLEAR papers that the prose description ('papers presenting a sys",R2,Small but real: the denominator computed is not the denominator described.
PAPER-1-SELF,A0_paper_1_self,dataset7,DATASET,"""A double-coding study of 149 papers puts substantial reliability behind nine of ten coded dimensions"" / ""Nine of the ten dimensions reach substantial agreement""",CONTRADICTED,"data/coding-reliability.csv (10 data rows, the released output of code/coding_reliability.py) labels the dimensions: D1 substantial, D2 substantial, D4 substantial, D7_code substantial, D7_data substantial, D8 substantial, D5 substantial, D6 substantial, D3 'moderate' (multi-select Jaccard 0.627), D9 'fair' (kappa 0.371). That is EIGHT of ten classified substantial, not nine. data/CODING-RELIABILI",R2,D3 lifecycle stages is 'moderate' in the released file yet is counted inside the 'nine of ten substantial' headline.
PAPER-1-SELF,A0_paper_1_self,dataset8,DATASET,"""Full results, including the confusion matrix, are in \texttt{data/CODING-RELIABILITY-RESULTS.md}"" (supporting the 149-paper re-coding statistics: 92.6% / kappa 0.78 with passes at 77.9% and 78.5%; auditability 84.6% / kappa 0.67 with rates 57.7% vs 70.5%; held-out 4.7% vs 5.4%; real-world 13.4% vs 11.4%)",CONTRADICTED,"data/CODING-RELIABILITY-RESULTS.md exists but contains no confusion matrix — only the prose sentence 'The confusion matrix is dominated by a single cell: 50 of 149 papers coded NONE_CLAIMED originally were re-coded UNSPECIFIED. Every other off-diagonal cell is in single figures.' No matrix, and no per-paper data. The only machine-readable output of the study is data/coding-reliability.csv, whose 1",R2,The single most self-critical result in the paper rests on data the artifact does not release.
PAPER-1-SELF,A0_paper_1_self,dataset9,DATASET,"""Every number in the paper is generated into a macro file by the analysis script; none is transcribed by hand."" (Section: Data, code, and artifact availability; echoed by paper/numbers.tex header 'Every number in the paper is defined here and derived from data/')",CONTRADICTED,"paper/numbers.tex contains 127 \newcommand macros (grep -c newcommand), none of which covers the reliability or process statistics. The following of the review's own numbers are typed as literals in the LaTeX sources: paper/sections-method.tex line 162 '149 papers drawn at random'; lines 165-167 '$\kappa=0.92$ ... $0.87$ ... $0.86$ ... $0.83$ ... $0.78$ ... $0.92$ ... $0.81$'; line 170 '50 papers ",R2,The completeness claim fails: the macro pipeline covers the corpus statistics but a substantial block of the paper's own numbers is hand-typed.
PAPER-1-SELF,A0_paper_1_self,method1,METHOD_COMPONENT,"""Layer 1 screened every candidate twice, independently: Pass A on Claude Fable 5 with a criteria-first prompt, Pass B on Claude Opus 5 with a question-first prompt.""",SUPPORTED,"data/screening-decisions.csv has exactly 1,359 rows; a deterministic count shows 0 rows with a blank passA_decision, 0 with a blank passB_decision, and 0 with a blank justification in either pass, so every candidate carries two independent decisions with reasons. The two differently-framed prompts exist verbatim in protocol/screening-prompts.md ('## Pass A prompt (criteria-first framing)' line 24,",R2,"The dual-pass structure is fully present in the released data: 1,359 papers x 2 passes, none blank."
