arxiv_id,title,area,domain,cohort,first_submitted,claim_strength,autonomy,paper_type,repo_urls,archetype,lineage,institution,n_files,extensions
2409.05556,SciAgents: Automating scientific discovery through multi-agent intelligent graph reasoning,A1_discovery,MATERIALS,2024-H2,2024-09-09,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/lamm-mit/GraphReasoning | github.com/lamm-mit/SciAgentsDiscovery,CODE_ONLY,,,12,.ipynb;.md;.py
2502.18864,Accelerating scientific discovery with Co-Scientist,A1_discovery,BIOMED,2025-H1,2025-02-26,DISCOVERY,L1_STAGE,SYSTEM,huggingface.co/datasets/Idavidrein/gpqa,DEAD,,,0,
2504.13344,Adaptive AI decision interface for autonomous electronic material discovery,A1_discovery,MATERIALS,2025-H1,2025-04-17,DISCOVERY,L2_PIPELINE,SYSTEM,github.com/polybot-nexus/robo_advisor_dashboard,FULL_PIPELINE,,,135,.css;.csv;.h5;.jpg;.json;.md;.png;.py;.txt;.yaml
2504.19017,Sparks: Multi-Agent Artificial Intelligence Model Discovers Protein Design Principles,A1_discovery,BIOMED,2025-H1,2025-04-26,DISCOVERY,L4_FULL,SYSTEM,github.com/lamm-mit/Sparks,FULL_PIPELINE,,,46,.conf;.dat;.inp;.ipynb;.json;.md;.namd;.pdf;.py;.pyc;.tcl;.txt
2506.20249,Language Modeling by Language Models,A1_discovery,GENERAL_ML,2025-H1,2025-06-25,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/BlinkDL/RWKV-LM | github.com/EleutherAI/lm-evaluation-harness | github.com/allenai/genesys | github.com/fla-org/flash-linear-attention | github.com/patrick-kidger/torchtyping | github.com/state-spaces/mamba,FULL_PIPELINE,,,12242,.csv;.go;.ipynb;.jpg;.json;.jsonnet;.libsonnet;.lock;.md;.png;.py;.sh
2507.21184,Can Language Models Discover Scaling Laws?,A1_discovery,GENERAL_ML,2025-H2,2025-07-27,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/block/goose | github.com/codelion/openevolve | github.com/sst/opencode | github.com/superagent-ai/grok-cli,FULL_PIPELINE,,,2422,.14;.b64;.bat;.bytes;.cjs;.cmd;.css;.desktop;.docx;.example;.fish;.gif
2509.06917,Paper2Agent: Reimagining Research Papers As Interactive and Reliable AI Agents,A1_discovery,BIOMED,2025-H2,2025-09-08,DISCOVERY,L2_PIPELINE,SYSTEM,github.com/google-deepmind/alphagenome | github.com/jmiao24/Paper2Agent | github.com/scverse/scanpy | github.com/sunericd/TISSUE | huggingface.co/spaces/Paper2Agent,FULL_PIPELINE,,,883,.0;.bib;.css;.csv;.gz;.h5;.h5ad;.ipynb;.json;.jsonc;.md;.mtx
2509.26603,DeepScientist: Advancing Frontier-Pushing Scientific Findings Progressively,A1_discovery,GENERAL_ML,2025-H2,2025-09-30,DISCOVERY,L4_FULL,SYSTEM,github.com/ResearAI/DeepScientist,FULL_PIPELINE,,,2530,.bib;.bst;.cff;.cjs;.css;.cts;.html;.in;.jpeg;.jpg;.js;.json
2511.02071,Human-AI Co-Embodied Intelligence for Scientific Experimentation and Manufacturing,A1_discovery,MATERIALS,2025-H2,2025-11-03,DISCOVERY,L2_PIPELINE,SYSTEM,github.com/flatironinstitute/mountainsort,FULL_PIPELINE,,,274,.c;.cpp;.dirs;.h;.html;.install;.ipynb;.jpg;.json;.m;.md;.mlp
2511.02824,Kosmos: An AI Scientist for Autonomous Discovery,A1_discovery,MULTI,2025-H2,2025-11-04,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/EdisonScientific/kosmos-figures,CODE_ONLY,,,120,.csv;.ipynb;.md;.pdf;.pkl;.png;.py;.r;.svg;.xlsx
