arxiv_id,passA_decision,passA_reason,passA_justification,passB_decision,passB_reason,passB_justification,agreement,final_decision,final_reason,adjudicated,adjudication_rationale
2401.01519,borderline,NA,"Review of LLMs across psychology research stages, but focuses on assistive use rather than autonomous agentic research systems.",borderline,NA,Broad review of LLMs across psychology applications; only partly about AI performing the research pipeline.,needs_adjudication,,,0,
2401.04022,exclude,EC3,Paper-mill network detection for research integrity with no autonomous AI research system as subject.,exclude,EC5,Network-based paper-mill detection; research integrity but not about AI-conducted research.,agree,exclude,EC3,0,
2401.05914,exclude,EC1,"Educational quiz question generation for teachers, not a research-performing AI system.",exclude,EC1,"Educational quiz question generation, an ordinary LLM application.",agree,exclude,EC1,0,
2401.11194,exclude,EC1,"Systematic review of human-conducted algorithm audits of online platforms, unrelated to autonomous AI research systems.",exclude,EC5,"Literature review of platform algorithm audits, unrelated to AI doing science.",agree,exclude,EC1,0,
2401.13481,exclude,EC3,Human-subjects study of exposure to AI-generated ideas; no autonomous research system as subject.,exclude,EC3,"Studies how AI-generated ideas influence human creativity, not machines doing science.",agree,exclude,EC3,0,
2401.13803,borderline,NA,"LLM assists microscopy experiment design and analysis via APIs, but unclear whether it constitutes an agentic loop beyond assistive code generation.",include,IC1,"LLM drives experiment design, instrument control code, and data analysis in scanning probe microscopy.",needs_adjudication,,,0,
2401.15284,borderline,NA,Ethics and transparency guidance for AI use in research; concerns human-assisted use but overlaps IC3 integrity/governance scope.,include,IC3,Position/framework on ethical and reproducible use of generative AI in research practice.,needs_adjudication,,,0,
2402.00071,include,IC1,Analyzes autonomous experimentation workflows (DKL-driven SPM) where the agentic experiment-execution loop is the paper's subject.,include,IC1,Autonomous experimentation workflow with in-loop interventions for automated microscopy characterization.,agree,include,IC1,0,
2402.04247,include,IC3,"Position/framework paper on risks, safeguards, and regulation of autonomous AI scientists.",include,IC3,Perspective on risks and safeguards for autonomous AI scientists.,agree,include,IC3,0,
2402.05200,borderline,NA,"Position paper on MatSci-LLMs with a roadmap toward self-driving labs, but mostly about datasets and information extraction rather than an autonomous research system.",include,IC3,Position paper and roadmap for LLM-driven hypothesis generation and self-driving materials labs.,needs_adjudication,,,0,
2402.06025,borderline,NA,"LLM plus probabilistic inference performing iterative experiment design and hypothesis revision, but on a toy Zendo-style task rather than the scientific research lifecycle.",borderline,NA,"LLM-based experiment design and rule revision, but framed as cognitive modeling of human inference on a toy task.",needs_adjudication,,,0,
2402.06359,exclude,EC1,"Formal framework for human values in multi-agent systems, not research-performing AI.",exclude,EC1,"Value-aware multi-agent systems framework, unrelated to AI-conducted research.",agree,exclude,EC1,0,
2402.07282,exclude,EC1,"Study of LLM honesty-helpfulness trade-offs, not an autonomous research system.",exclude,EC5,"Analysis of LLM honesty/helpfulness trade-offs, not about machines doing science.",agree,exclude,EC1,0,
2402.12391,include,IC1,Multi-agent LLM team (TAIS) autonomously performing scientific discovery pipeline on gene expression data.,include,IC1,Multi-agent LLM team autonomously performs the data-analysis discovery pipeline on gene expression data.,agree,include,IC1,0,
