arxiv_id,area,claim_id,claim_type,claim_text,verdict,evidence,level_reached,note
2403.13815,A3_end_to_end,c1,METHOD_COMPONENT,"""The GPR is implemented as a Python script based on the GPR-driven data acquisition described in Ref. [14] and uses the Python library gpCAM [17]"" (github.com/lbl-camera/gpCAM).",SUPPORTED,"The linked repository is lbl-camera/gpCAM itself. README.md documents the autonomous-acquisition loop it provides (`my_gp = GPOptimizer(x_data,y_data)`, `my_gp.train()`, then a loop of `my_gp.ask(...)` / `my_gp.tell(...)` with re-training at `train_at = [10,20,30]`), and gpcam/gp_optimizer.py defines GPOptimizer / fvGPOptimizer / LogGPOptimizer / LogitGPOptimizer. The package is by Marcus Noack (R",R2,The cited software dependency exists and provides exactly the GPR-driven ask/tell/train acquisition loop the paper describes.
2403.13815,A3_end_to_end,c2,METHOD_COMPONENT,"""We use the default Matern kernel in gpCAM which is a stationary and anisotropic kernel.""",SUPPORTED,"gpcam/gp_optimizer.py docstring: ""The default is a stationary anisotropic Matern kernel of first-order differentiability, which performs automatic relevance determination (ARD)."" (gpcam/kernels.py re-exports `from fvgp.kernels import *`, so the concrete kernel implementations live in the fvgp dependency.)",R2,The default-kernel description in the paper matches the default documented in the library's own source.
2403.13815,A3_end_to_end,c3,METHOD_COMPONENT,"Eq. (6): the acquisition function is a weighted sum, over tasks, of the GP posterior mean and variance, f_a(x) = sum_t beta_t (m_t(x) + alpha sigma_t^2(x)), with alpha controlling exploration versus exploitation.",SUPPORTED,"examples/acquisition_function.py provides user-editable templates of exactly this form: `def exploration(x, obj): cov = obj.posterior_covariance(x)[""v(x)""]; return cov` and `def upper_confidence_bounds(x, obj): a = 3.0; ... return mean + a * cov`; gpcam/gp_optimizer.py documents built-in ranking acquisitions ""(variance, ucb, lcb, maximum, minimum)"".",R2,"The mean-plus-weighted-variance acquisition form is a first-class, user-overridable feature of the released library; the paper's specific two-task weighting is a user-supplied instance not shipped in this repo."
2403.13815,A3_end_to_end,c4,METHOD_COMPONENT,"Eq. (5): the next parameter set is chosen as x' = argmax_x f_a(x) / f_c(x, x_c, {p_i}), i.e. the acquisition function is divided by a cost function that penalises long, time-consuming motor moves.",SUPPORTED,"gpcam/gp_optimizer.py `cost_function` docstring: ""A function encoding the cost of motion through the input space and the cost of a measurement... The 'score' from acquisition_function is divided by this returned cost."" examples/cost_function.py implements distance-scaled travel costs `l1_cost` and `l2_cost` (`slope * np.linalg.norm(np.abs(np.subtract(origin, x)), axis=1) + offset`) plus online re-",R2,"The divide-acquisition-by-travel-cost mechanism of Eq. (5) is implemented and documented in the released library; the paper's specific Eq. (7) (with vx, vy and an infinite cost for already-measured points) is a custom user function not present in this repo."
2403.13815,A3_end_to_end,c5,METHOD_COMPONENT,"The GPR is trained on two tasks simultaneously (mean intensity I and mean curvature C), with the number of hyperparameters depending on the number of tasks and the input dimensionality.",SUPPORTED,"gpcam/gp_optimizer.py defines `fvGPOptimizer`, documented as ""an optimization extension of the fvgp package for multi-task (vector-valued) Gaussian Processes""; docs/source/api/fvgpOptimizer.md autodocuments `gpcam.gp_optimizer.fvGPOptimizer`; examples/GPOptimizer_MultiTaskTest.ipynb is a worked multi-task notebook.",R2,Multi-task GP optimisation of the kind the paper uses for I and C is a released capability of the artifact.
2403.13815,A3_end_to_end,c6,DATASET,"A ground-truth raster scan of the Nb/Sb-doped Bi2Se3 sample of ""approximately 22,700 measured points"" on a 5 um grid (Fig. 3), and autonomous runs of N = 600 points in the 2D (x,y) space and N = 940 unique positions in the 3D (x,y,Theta) space (Figs. 4-7).",UNVERIFIABLE,"The repository linked to this paper is the third-party gpCAM library (github.com/lbl-camera/gpCAM), not an artifact released by the microARPES authors, so it is not a kind of repository that could hold this beamtime data. Its complete 134-file listing contains exactly five data files, all generic library demos: examples/data/sarcos.npy, examples/data/sim_variable_mod.npy, examples/data/x_data1.npy",R1,"Exact count of data files in the artifact: 5, none ARPES-related; the paper states no data-availability location that this artifact covers."
2403.13815,A3_end_to_end,c7,SELF_APPLICATION,"""We have implemented autonomous GPR-controlled microARPES experiments at the SGM4 beamline of ASTRID2 and demonstrated this by exploring two- and three-dimensional parameter spaces"" -- three asynchronous processes (LabView data collection, dimensionality reduction, GPR suggestion) communicating over TCP, closing the measure-analyse-suggest-move loop autonomously (Fig. 2).",NOT_LOCATED,"Searches performed over the complete, untruncated 134-file listing and the README of lbl-camera/gpCAM for: 'ARPES', 'microARPES', 'SGM4', 'ASTRID', 'beamline', 'synchrotron', 'LabView', 'photoemission', 'Bi2Se3', 'curvature', 'deflector', 'Theta', and for run residue ('run', 'log', 'output', 'results', '.h5', '.hdf5', '.json' result files, figure outputs) -- no match. Files fetched and read: READM",R2,"This artifact is the general-purpose GPR dependency the paper builds on, not the authors' beamline integration, so the closure of the microARPES loop is evidenced by the paper's own figures rather than by anything in this repository; that is an absence of evidence here, not evidence of absence."
2405.17631,A3_end_to_end,c1,ARTIFACT_RELEASE,Code is available at: www.github.com/snap-stanford/BioDiscoveryAgent,SUPPORTED,"github.com/snap-stanford/BioDiscoveryAgent is public (gh api repos/snap-stanford/BioDiscoveryAgent: private=false, default_branch=master, pushed_at 2025-07-06). Full recursive tree of master enumerated: 49 entries, including README.md, research_assistant.py, tools.py, LLM.py, analyze.py, baseline.py, gene.py, get_lit_review.py, get_gene_summary.py, achilles.py, requirements.txt, CEGv2.txt, plus da",R2,"NOTE FOR THE PROGRAMME: the repository bundled with this task record was Significant-Gravitas/Auto-GPT, which is the repo of the paper's AutoGPT citation, not this paper's artifact; all verdicts here were checked against snap-stanford/BioDiscoveryAgent, the repo the paper actually names."
2405.17631,A3_end_to_end,c2,METHOD_COMPONENT,"In each round the agent constructs a prompt including the task description and experimental results from previous rounds, the LLM response identifies genes to perturb next, and the results of each experiment are incorporated into the next prompt; responses are structured as Reflection, Research Plan, Solution.",SUPPORTED,tools.py: agent_loop defined at line 628; ground truth loaded at lines 644-657 ('./datasets/ground_truth_' + args.data_name + '.csv' and './datasets/topmovers_'+args.data_name+'.npy'); round loop 'for curr_step in range(steps)' at line 683; the readout of the selected batch is revealed at line 693 ('gene_readout = ground_truth.loc[gene_sampled]') and hit scores are appended to the next prompt at l,R2,"The loop is closed in silico: the 'experiment' is a lookup into the released ground-truth CSV, exactly as the paper's Section 4 states."
2405.17631,A3_end_to_end,c3,METHOD_COMPONENT,"The agent has access to tools for searching the biomedical literature (PubMed API), gene search via Reactome 2022 enrichment analysis, and prompting another agent (AI critic) to critically evaluate its predictions.",SUPPORTED,"Literature search: get_lit_review.py imports 'from pymed import PubMed' and get_lit_review() instantiates PubMed(tool='MyTool', ...) and calls pubmed.query(query, max_results=max_number), with the query itself written by the LLM in what_to_query(); requirements.txt lists pymed. Gene search: tools.py lines 830-838 call get_enrichment(hits, database='Reactome_2022') then get_topk_genes_in_reactome(p",R2,All three tools described in Section 3.1 are present and wired into the round loop.
