arxiv_id,field,before,after,quote
2407.12888,screening,include/IC1,exclude/EC6_ASSISTIVE,"These analyses, along with biomedical texts, are integrated into a framework that facilitates user-directed mechanism elucidation as well as hypothesis exploration through RAG-enabled LLMs."
2501.01451,screening,include/IC3,exclude/EC6_ASSISTIVE,"The AI, in turn, proved to be a valuable partner, suggesting analyses, generating code, and adapting to user inputs."
2504.01911,screening,include/IC1,exclude/EC6_ASSISTIVE,"By fostering an interpretable reasoning process, this module ensures that AI remains an assistive tool that enhances scientific inquiry while preserving human oversight and expertise."
2602.22842,screening,include/IC3,exclude/EC6_ASSISTIVE,"However, every step required rigorous human verification, mathematical intuition for problem formulation, and strategic direction."
2407.12888,corpus,in corpus,removed (now excluded),"These analyses, along with biomedical texts, are integrated into a framework that facilitates user-directed mechanism elucidation as well as hypothesis exploration through RAG-enabled LLMs."
2407.13993,D2,L0_ASSISTIVE,L1_STAGE,"Based on the relevance and contribution scores across all research questions, LLAssist determines whether an article is a ""must-read."""
2501.01451,corpus,in corpus,removed (now excluded),"The AI, in turn, proved to be a valuable partner, suggesting analyses, generating code, and adapting to user inputs."
2504.01911,corpus,in corpus,removed (now excluded),"By fostering an interpretable reasoning process, this module ensures that AI remains an assistive tool that enhances scientific inquiry while preserving human oversight and expertise."
2505.03049,D2,L0_ASSISTIVE,L1_STAGE,"From this dataset, the approach produced 1,000 structured hypotheses, which were then subjected to rigorous evaluation."
2507.15617,D3,EXP_DESIGN;EXECUTION;ANALYSIS;WRITING,NA,"Here, we map the landscape of epidemiological tasks that rely on existing datasets—from literature review through to idea generation, data access, analysis, write-up and dissemination."
2508.19200,D2,L0_ASSISTIVE,L1_STAGE,"It includes three main steps (1) element mining: mining and merge elements (like keywords representing themes, domains, and methods) from papers in top conferences; (2) combinational thinking: combining extracted elements through symbolic recombination similar with Ramon Llull's thinking machine; (3"
2510.14861,D2,L0_ASSISTIVE,L2_PIPELINE,"We used LabOS to generate hypotheses, perform target identification via multi-step reasoning and analysis, and the AI agent nominated CEACAM6 as a putative target, which were validated in physical lab NK-tumor killing assay."
2511.02071,D2,L0_ASSISTIVE,L2_PIPELINE,APEX system first generated a customized fabrication protocol by recognizing that directly spin-coating SEBS as the top encapsulation layer would dissolve the underlying SEBS layer.
2511.18259,D2,L0_ASSISTIVE,L1_STAGE,"The Supervisor (or orchestrator) agent waits for the domain agents to finish their analysis. Once all requested domain-specific findings are ready, the Supervisor integrates the results and assembles a coherent answer that covers each aspect."
2602.09723,D2,L0_ASSISTIVE,L1_STAGE,"The expert-curated outline from Phase 1 was expanded by the Assistant into a full-length report draft, then segmented into sections. Each section was grounded in the full AMOC corpus with a pipeline that evaluated all documents from the corpus, iteratively in batches."
2602.22842,corpus,in corpus,removed (now excluded),"However, every step required rigorous human verification, mathematical intuition for problem formulation, and strategic direction."
2603.00612,D2,L0_ASSISTIVE,L1_STAGE,Hypothesis generation is performed by a dedicated agent operating over both the symbolic knowledge graph and its learned embeddings.
2603.12226,D2,L0_ASSISTIVE,L1_STAGE,"To avoid prematurely anchoring on end-to-end automated solutions and instead augment the initial creative ideation process itself, we propose Idea-Catalyst, a novel framework for the automatic generation of insightful, interdisciplinary idea fragments."
2605.21481,D2,L0_ASSISTIVE,L1_STAGE,"The agent first retrieves and synthesizes relevant literature to establish a well-grounded context for evaluation, and then generates a structured review with multi-dimensional scores and actionable revision suggestions."
2605.27905,D3,IDEATION,NA,"We evaluate five representative AI research-agent frameworks: a Zero-shot baseline, AIScientist, ResearchAgent, AgentLaboratory, and Co-Scientist."
2606.23175,D3,EXECUTION;ANALYSIS,NA,"All 28 episodes use the same task setup: Claude Opus 4.6 (primary episodes) or Gemini 2.5 Flash / Gemini 2.5 Pro (cross-model episodes) with bash, file read/write, and Python execution, a pre-compiled Geant4 simulator binary invoked through bash, and uproot for ROOT-file reading."
2607.08003,D2,L0_ASSISTIVE,L1_STAGE,"Crucially, every mechanistic claim reported herein is derived solely by a frontier reasoning model (OpenAI GPT-5.4) operating over its encoded literature knowledge."
