arxiv_id,producer,original_decision,original_reason,final_decision
2505.20538,fable,include,IC2,include
2605.27935,opus,exclude,EC1,exclude
2604.11307,fable,include,IC2,include
2511.18259,opus,include,IC1,include
2510.06056,fable,include,IC1,include
2601.20996,opus,include,IC2,include
2503.01508,fable,include,IC2,include
2606.22883,opus,exclude,EC1,exclude
2604.09554,fable,include,IC2,include
2505.04651,opus,include,IC3,include
2607.08700,fable,include,IC2,include
2507.08870,opus,include,IC1,include
2605.11532,fable,include,IC1,include
2501.10385,opus,include,IC1,include
2504.05496,fable,include,IC3,include
2508.13953,opus,exclude,EC2,exclude
2510.03687,fable,exclude,EC1,exclude
2502.14297,opus,include,IC2,include
2509.04499,fable,include,IC2,include
2509.13309,opus,include,IC1,include
2510.18939,fable,exclude,EC1,include
2505.19964,opus,exclude,EC5,exclude
2604.24618,fable,include,IC2,include
2503.05712,opus,include,IC2,include
2509.13312,fable,include,IC1,include
2602.15019,opus,exclude,EC1,include
2509.01016,fable,exclude,EC1,exclude
2511.09710,opus,exclude,EC1,exclude
2605.26870,fable,include,IC3,include
2501.04227,opus,include,IC1,include
2407.08422,fable,exclude,EC1,exclude
2602.02139,opus,include,IC1,include
2607.02520,fable,include,IC1,include
2604.03159,opus,include,IC2,include
2502.01118,fable,exclude,EC1,exclude
2410.09403,opus,include,IC1,include
2602.06540,fable,include,IC1,include
2602.18446,opus,include,IC2,include
2603.16120,fable,include,IC1,include
2412.09429,opus,include,IC1,include
2502.15429,fable,exclude,EC3,exclude
2605.04236,opus,exclude,EC1,exclude
2411.02429,fable,include,IC2,include
2506.12594,opus,include,IC3,include
2403.01332,fable,exclude,EC2,exclude
2511.17833,opus,exclude,EC1,exclude
2606.11045,fable,include,IC3,exclude
2606.15345,opus,exclude,EC1,include
2607.04508,fable,include,IC1,include
2606.08234,opus,include,IC3,include
2603.20278,fable,exclude,EC1,include
2606.08671,opus,exclude,EC1,include
2512.15483,fable,include,IC1,exclude
2605.10224,opus,include,IC1,include
2505.14242,fable,exclude,EC1,exclude
2506.20608,opus,exclude,EC1,exclude
2605.12187,fable,exclude,EC3,exclude
2505.16100,opus,include,IC2,include
2405.07495,fable,exclude,EC1,exclude
2601.14288,opus,include,IC1,include
2607.14097,fable,include,IC1,include
2604.02592,opus,exclude,EC1,include
2605.29522,fable,include,IC1,include
2603.29353,opus,include,IC1,exclude
2606.18508,fable,exclude,EC1,exclude
2601.09688,opus,include,IC2,include
2510.11967,fable,exclude,EC1,exclude
2606.17076,opus,include,IC1,include
2508.00554,fable,exclude,EC1,exclude
2605.24043,opus,include,IC1,include
2510.16082,fable,include,IC1,include
2601.07966,opus,include,IC1,include
2506.04478,fable,exclude,EC1,exclude
2604.03553,opus,include,IC1,exclude
2607.12835,fable,include,IC2,include
2510.20221,opus,exclude,EC2,exclude
2604.20441,fable,include,IC3,include
2507.08350,opus,include,IC1,include
2508.13421,fable,include,IC1,include
2506.06881,opus,exclude,EC1,include
2602.15061,fable,include,IC3,include
2606.28710,opus,exclude,EC5,exclude
2602.07040,fable,include,IC1,include
2507.19477,opus,exclude,EC2,exclude
2606.13148,fable,include,IC2,include
2403.07965,opus,exclude,EC5,exclude
2604.07927,fable,exclude,EC1,include
2511.00092,opus,exclude,EC5,exclude
2603.18388,fable,exclude,EC1,exclude
2505.19955,opus,include,IC2,include
2602.02636,fable,exclude,EC1,include
2505.18705,opus,include,IC1,include
2602.03849,fable,include,IC1,include
2607.05762,opus,include,IC1,include
2606.20122,fable,exclude,EC1,include
2512.08935,opus,include,IC1,include
2607.08003,fable,include,IC1,include
2603.05972,opus,include,IC1,include
2504.07396,fable,include,IC1,exclude
2603.13840,opus,include,IC1,include
2507.23276,fable,include,IC3,include
2511.15342,opus,include,IC1,include
2605.16217,fable,exclude,EC1,include
2605.14791,opus,include,IC1,include
2507.10522,fable,include,IC1,include
2606.18874,opus,include,IC1,include
2607.12257,fable,include,IC2,include
2512.16822,opus,exclude,EC1,exclude
2602.07943,fable,include,IC1,include
2412.16160,opus,exclude,EC2,exclude
2605.10899,fable,include,IC1,include
2510.01427,opus,exclude,EC1,exclude
2501.01451,fable,include,IC3,include
2502.12700,opus,exclude,EC1,exclude
2502.14499,fable,include,IC2,include
2605.14271,opus,exclude,EC1,exclude
2506.20702,fable,exclude,EC1,exclude
2601.06676,opus,include,IC2,include
2604.18805,fable,include,IC3,include
2504.19678,opus,exclude,EC1,exclude
2511.14043,fable,include,IC1,exclude
2602.23716,opus,exclude,EC1,include
2607.11079,fable,include,IC2,include
2510.04997,opus,include,IC1,include
2602.18920,fable,include,IC1,include
2409.05556,opus,include,IC1,include
2505.08127,fable,exclude,EC3,exclude
2605.10813,opus,include,IC1,include
2607.08093,fable,include,IC2,exclude
2512.02195,opus,exclude,EC2,exclude
2602.01331,fable,exclude,EC1,include
2504.08066,opus,include,IC1,include
2506.23517,fable,exclude,EC3,exclude
2601.05356,opus,include,IC1,include
2604.06240,fable,exclude,EC1,exclude
2604.11201,opus,exclude,EC1,exclude
2604.09793,fable,include,IC2,include
2603.06002,opus,exclude,EC2,exclude
2506.11763,fable,include,IC2,include
2505.20466,opus,include,IC3,include
2512.00986,fable,include,IC2,include
2605.22662,opus,include,IC1,include
2606.13859,fable,include,IC1,include
2601.03261,opus,exclude,EC1,include
2509.22315,fable,exclude,EC1,exclude
2601.19916,opus,include,IC2,include
2606.15931,fable,include,IC1,include
2606.29920,opus,exclude,EC1,include
2504.04083,fable,exclude,EC1,exclude
2605.05258,opus,include,IC1,include
