arxiv_id,area,claim_id,claim_type,claim_text,verdict,evidence,level_reached,note
2402.05200,A2_auditability,c1,MECHANISM_IMPLEMENTED,"The paper outlines a framework/roadmap for MatSci-LLMs spanning six interacting steps (Materials Query, Data Retrieval, Materials Design, Insilico Evaluation, Experiment Planning, Experiment Execution) with grounded hypothesis generation followed by hypothesis testing at its core.",UNVERIFIABLE,"Full file listing of github.com/M3RG-IITD/MatSci-LLM is three files: .gitignore, Article_list.csv, README.md (listing confirmed against the GitHub repository page; main branch, 16 commits). No source files, notebooks, prompts, or configs of any kind exist.",R1,"This is a perspective paper proposing a research roadmap rather than a system, so there is no mechanism in the artifact to check."
2402.05200,A2_auditability,c2,ARTIFACT_RELEASE,"The released repository accompanies the preprint and contains the list of articles used in it (README: ""This repository contains the list of articles used in the preprint"").",DIVERGENT,"Article_list.csv and README.md. The CSV header is 'Publication Title, Title URL' and its rows are journal titles paired with journal landing pages (e.g. '3 Biotech,http://link.springer.com/journal/13205'; 'Acta Astronautica,http://www.sciencedirect.com/science/journal/00945765'), roughly 1,100 entries. These are journals, not articles.",R2,"The artifact exists and is on-topic, but its granularity is journal-level while the README describes it as an article list."
2402.05200,A2_auditability,c3,DATASET,"The corpus analysis in the paper is based on MatSci-related articles in Springer and Elsevier journals accessed through institutional subscriptions (Section 5, Data Availability; Appendix A).",SUPPORTED,"Article_list.csv: entries resolve to link.springer.com/journal/... and sciencedirect.com/science/journal/... URLs, i.e. exactly the two publisher families named in Section 5.",R2,The released journal list matches the publisher scope the paper states for its corpus analysis.
2402.05200,A2_auditability,c4,NUMERIC_RESULT,Analysis of MatSci-related articles in Springer and Elsevier journals revealed ~6 million peer-reviewed articles totalling ~20 billion words available in machine-readable format through institutional subscriptions.,NOT_LOCATED,"Inspected all three files in the repository. Article_list.csv has only two columns (Publication Title, Title URL) and carries no per-journal article counts, word counts, or totals; README.md contains no numbers other than the arXiv link; .gitignore is not content. No counting script, notebook, or aggregate table was found in the file listing (searched for any .py/.ipynb/.json/.md beyond README and",R2,"The journal list is present but the counting step that produces 6M/20B is not in the repository, so the number could not be traced to the artifact."
2402.05200,A2_auditability,c5,METHOD_COMPONENT,"Ten worked failure cases of GPT-4 on MatSci questions (question, correct answer, GPT-4 reasoning) are provided in Appendix C, and in-context composition-extraction examples in Appendix D.",NOT_LOCATED,"Searched the complete three-file repository listing for any transcript, prompt, response, or appendix material (no directories, no .json/.txt/.md files besides README.md, no file names referencing GPT, prompts, QA, or appendices). The examples appear in the paper's appendices only.",R2,The failure-case material is presented in the manuscript; we could not find a machine-readable copy of it in the repository.
2402.05200,A2_auditability,c6,SELF_APPLICATION,"The paper argues that MatSci knowledge must be captured in complete, machine-readable, traceable form and criticises ""Incomplete Descriptions"" in which methods and data are deferred to sources described elsewhere; by its own standard, its released artifact should make the evidence behind its analyses directly readable.",NOT_LOCATED,"Inspected README.md and Article_list.csv (the only content files). The repository releases a ~1,100-row journal title/URL list with no accompanying description of how it was assembled, no per-journal statistics, and no script; the paper's own quantitative statements (~6M articles, ~20B words, Appendix A) and its GPT-4 failure transcripts are not present in machine-readable form. No CONTRIBUTING, d",R2,We could not locate in the repository the machine-readable backing material that would let a reader re-derive the paper's stated corpus figures; the released list itself is a genuine but undescribed source inventory.
2501.04306,A2_auditability,c1,ARTIFACT_RELEASE,"""Resources are available at the following repository: https://github.com/du-nlp-lab/LLM4SR."" (abstract)",SUPPORTED,"README.md (public, ~140-150 linked paper entries), LICENSE, assets/schematic_overview.png at github.com/du-nlp-lab/LLM4SR; README also carries a BibTeX Citation section for arXiv:2501.04306.",R2,"The advertised resource repository exists, is public, licensed, and is the survey's companion paper index."
2501.04306,A2_auditability,c2,MECHANISM_IMPLEMENTED,"The survey organizes the LLM-for-science literature into four research-cycle stages (hypothesis discovery; experiment planning and implementation; paper writing; peer reviewing) with task-specific methods and evaluation benchmarks (Fig. 2), and the repository is the corresponding organized resource collection.",SUPPORTED,"README.md top-level headings are exactly ""LLMs for Scientific Hypothesis Discovery"", ""LLMs for Experiment Planning and Implementation"" (with Optimizing Experimental Design / Automating Experimental Processes / Data Preparation / Experiment Execution and Workflow Automation / Data Analysis and Interpretation / Benchmarks), ""LLMs for Scientific Paper Writing"", ""LLMs for Peer Reviewing"", plus ""Citati",R2,The taxonomy the paper presents is mirrored one-to-one in the README's section structure.
2501.04306,A2_auditability,c3,MECHANISM_IMPLEMENTED,"The paper proposes no auditability, provenance, reasoning-trace or claim-licensing mechanism of its own; it is a literature survey that reviews mechanisms proposed by others (e.g. novelty/validity/clarity feedback checkers in MOOSE, MOOSE-Chem, ResearchAgent).",UNVERIFIABLE,"Repository file listing contains only LICENSE, README.md and assets/schematic_overview.png - no source files, configs, logs or trace outputs of any kind; the paper text describes only surveyed third-party systems, not a system built by the authors.",R1,"A survey has no mechanism to implement, so there is nothing in the artifact that could evidence or fail this - the expected verdict for this archetype."
2501.04306,A2_auditability,c4,METHOD_COMPONENT,"Table 1 provides a component matrix over 21 discovery methods, marking each for inspiration-retrieval strategy, novelty/validity/clarity feedback, evolutionary algorithm, leveraging multiple inspirations, ranking, and automatic research-question construction.",NOT_LOCATED,"Fetched https://raw.githubusercontent.com/du-nlp-lab/LLM4SR/main/README.md and queried it for a key-component comparison table and for the column labels (novelty feedback, validity feedback, clarity feedback, evolutionary algorithm, ranking); no such table is present, and the full repository listing (3 files) contains no data file that could hold it.",R2,"The paper never states this table is redistributed in the repository, so its absence there is a search result rather than a discrepancy with a stated promise."
