arxiv_id,area,claim_id,claim_type,claim_text,verdict,evidence,level_reached,note
2402.12391,A4_physical_life_sciences,c1,ARTIFACT_RELEASE,"Code for a more recent version of our system is available at https://github.com/Liu-Hy/GenoMAS (footnote 1, p.1).",SUPPORTED,"Repository github.com/Liu-Hy/GenoMAS is public with 60 files including main.py, agents/, core/, prompts/, tools/, requirements.txt, LICENSE (MIT) and a README with run instructions.",R2,"The released code is the successor system GenoMAS (arXiv 2507.21035), which is exactly what the footnote promises rather than the TAIS code itself."
2402.12391,A4_physical_life_sciences,c2,METHOD_COMPONENT,"TAIS comprises five roles: Project Manager, Data Engineer, Statistician, Domain Expert and Code Reviewer (Section 3.1, Appendix A).",SUPPORTED,"agents/pi_agent.py (PIAgent with assign_task(role) issuing MessageType.TASK_REQUEST, i.e. the coordinator role), agents/geo_agent.py and agents/tcga_agent.py (the two data-engineering agents for GEO and TCGA), agents/statistician_agent.py, agents/domain_expert.py, agents/code_reviewer.py.",R2,"All five described roles have a corresponding agent module, with the Data Engineer split into GEO and TCGA variants."
2402.12391,A4_physical_life_sciences,c3,METHOD_COMPONENT,"Collaboration uses a Write-Run-Audit loop bounded by a small review budget (max number of review rounds) plus Consultative Coding in which the Data Engineer queries the Domain Expert at decisions requiring biomedical judgment (Section 3.2, Figures 2-3).",SUPPORTED,agents/multi_step_agent.py: self.max_rounds = args.max_rounds and self.review_round counter gating do_review; parse_code_review_response() keys on the strings 'Final Decision: Approved' / 'Final Decision: Rejected'; messages are routed with target_roles={Role.DOMAIN_EXPERT} when self.current_action.requires_domain_knowledge and self.include_domain_expert.,R2,agents/code_reviewer.py is a thin LLM responder; the bounded loop and approval parsing live in agents/multi_step_agent.py.
2402.12391,A4_physical_life_sciences,c4,METHOD_COMPONENT,"The statistical backbone uses Lasso for variable selection, detects confounding via eigenvalue gaps of the covariance matrix of input features, applies a linear mixed model (LMM) or data transformation for correction, uses residualization for conditions, and a two-step regression when condition data are missing (Section 3.3).",SUPPORTED,tools/statistics.py: imports Lasso (sklearn) and LMM (sparse_lmm) with tune_hyperparameters mapping Lasso->'alpha' and LMM->'lamda'; detect_batch_effect() inspects eigenvalues of the covariance matrix for large gaps; class ResidualizationRegressor regresses Y on Z and forms e_Y = Y - Y_hat; select_and_load_cohort() branches on is_two_step to find genes satisfying the exclusion restriction.,R2,Every named statistical component of Section 3.3 has a concrete implementation in this single module.
2402.12391,A4_physical_life_sciences,c5,DATASET,"We developed the Genetic Question Exploration (GenQEX) benchmark of 457 trait-condition questions with a gold standard comprising public genetic datasets, preprocessing and regression code, and results (Section 4).",DIVERGENT,"The repository contains no GenQEX release; README.md instead states experiments use the GenoTEX benchmark, 'All 1,384 (trait, condition) pairs in GenoTEX', hosted as a ~42 GB Google Drive download and documented at github.com/Liu-Hy/GenoTEX. metadata/task_info.json holds traits with related genes and associated conditions but no 457-item question list; download/get_trait_condition_pairs.ipynb rege",R2,"Paper states 457 GenQEX pairs; the released successor artifact ships/points to a differently named, larger benchmark of 1,384 pairs."
2402.12391,A4_physical_life_sciences,c6,METHOD_COMPONENT,"Trait-condition pairs were ranked by the Jaccard similarity of related genes from NCBI Gene and filtered by inclusion/exclusion criteria (condition-only entities, gender-specific traits, no cancer-cancer pairs) (Section 4 and Appendix B).",SUPPORTED,"download/get_trait_condition_pairs.ipynb computes an intersection-over-union score over per-trait gene sets, sorts descending, and applies filters removing gender-incompatible pairs, restricting condition-only entities, dropping cancer-cancer pairs and keeping pairs with IoU >= 0.20 or designated conditions (Obesity, Hypertension); gene lists come from download/Extract_genes_from_NCBI.ipynb and me",R2,"The selection procedure described in Appendix B is implemented, though the notebook's outputs do not print the paper's 4556 / 457 counts."
2402.12391,A4_physical_life_sciences,c7,NUMERIC_RESULT,"TAIS attains end-to-end Success Rate 69.08%, Precision 33.91%, Recall 31.70%, F1 30.27% and Jaccard 21.13%, with regression-only F1 rising from 55.95% to 89.30% across review budgets (Tables 1-3).",NOT_LOCATED,"Searched the full 60-file listing for any results/, output/, logs/, csv or json results directory (none present; output/ is only described in README as generated at run time); inspected eval.py, which computes success rate, precision, recall, F1, Jaccard and AUROC dynamically from run outputs and contains no hardcoded numbers; searched README.md for 69.08 / 30.27 / 55.95 / 89.30 (absent - README r",R2,The scoring code is released but no result files or logs backing the paper's tables are in this repository.
2402.12391,A4_physical_life_sciences,c8,NUMERIC_RESULT,"For 'What genes are associated with Pancreatic Cancer when considering conditions related to Vitamin D Levels?' the system identified 20+ genes with 80% cross-validation accuracy, the top five being SLC11A1, SOCS1, CD207, LILRB3 and SPA17 (Section 6).",NOT_LOCATED,"Searched the 60-file listing for any case-study, pancreatic or vitamin-D output (none); tools/statistics.py provides cross_validation(), interpret_result() and save_result() but no saved result files are committed; README.md documents outputs under output/regress/{trait_name}/ as generated locally and not included in the repository.",R2,"The machinery to produce such a gene list and CV accuracy is present, but the specific case-study output is not part of the artifact."
2404.12899,A4_physical_life_sciences,c1,ARTIFACT_RELEASE,The analysis code that supports the findings is publicly available at https://github.com/Slautin/2024_Co-navigation/tree/main; the GP codes are implemented using the GPax package (https://github.com/ziatdinovmax/gpax) and the FerroSim codes are available at https://github.com/ramav87/FerroSim.,SUPPORTED,"Harvested artifact for this record is ziatdinovmax/gpax (README.md, gpax/models/*.py, gpax/acquisition/*.py present, 112 files). The paper's own analysis repo was also reachable: Slautin/2024_Co-navigation contains 1_Co_navigation_theory_theory.ipynb, 2_Co_navigation_experiment_theory.ipynb, README.md (git trees API, branch main); ramav87/FerroSim returns HTTP 200.",R2,"All three named code artifacts are public, though the repository attached to this record (gpax) is the GP dependency rather than the paper's own analysis repo."
2404.12899,A4_physical_life_sciences,c2,METHOD_COMPONENT,"Surrogate DKL models were employed in both T- and E-loops using the Maximum Uncertainty acquisition function, while the outer theory update loop is driven by a UCB acquisition function of the form UCB(x)=mu(x)-beta*sigma(x) that is minimized.",SUPPORTED,"gpax/models/vidkl.py (viDKL model), gpax/acquisition/acquisition.py (UE at line 314 = uncertainty-based/maximum-uncertainty acquisition; UCB at line 143 with 'beta: coefficient balancing exploration-exploitation trade-off'), gpax/acquisition/base_acq.py ('if maximize: acq = mean + delta else: acq = -(mean - delta)'). Called in Slautin/2024_Co-navigation/2_Co_navigation_experiment_theory.ipynb: 'dk",R2,The maximize=False branch implements exactly the minimized mu - beta*sigma form stated in Eq. 5.
2404.12899,A4_physical_life_sciences,c3,METHOD_COMPONENT,For the standard GP the mean function was set equal to the maximum of the acquired MSE at each exploration step; for the structural GP a mean function of elliptical form alpha_x(x-x0)^2 + alpha_y(y-y0)^2 was introduced.,SUPPORTED,"Slautin/2024_Co-navigation/2_Co_navigation_experiment_theory.ipynb, model-adjustment cell: 'def mean_function(x): return np.max(y_model)' and 'def parabolic(x, params): return jnp.array([params[alpha]*(x[:,0]-params[x0])**2 + params[beta]*(x[:,1]-params[y0])**2])', selected via 'if structural: gpax.viGP(..., mean_fn=parabolic, mean_fn_prior=parabolic_priors) else: gpax.viGP(..., mean_fn=mean_funct",R2,Both the max-MSE mean function and the elliptical (parabolic) mean function are implemented as described.
2404.12899,A4_physical_life_sciences,c4,NUMERIC_RESULT,"The simulations involved 600 exploration steps, the theoretical model hyperparameters were updated by the outer loop at every 20th step, the training dataset was constrained to the last 20 discovered locations, the UCB beta was decayed from 10^2 to 10^-3 with a sigmoid, and MSE values were multiplied by 10 before training the GP.",SUPPORTED,"Slautin/2024_Co-navigation/1_Co_navigation_theory_theory.ipynb: 'n_steps = 601', 'upd_rate = 20', 'mem_tail = 20', 'beta0 = 100', 'beta_last = 0.001', 'beta_sequence = sigmoid_decay(beta0, beta_last, n_steps, a=2.5, b=0)', 'mse.append(np.mean(np.square(n_y_tr - n_y_th))*10)'; identical settings in 2_Co_navigation_experiment_theory.ipynb ('n_steps = 601', 'upd_rate = 20', 'beta0 = 100').",R2,Every stated protocol number matches the notebooks (n_steps=601 corresponds to steps 0-600).
2404.12899,A4_physical_life_sciences,c5,NUMERIC_RESULT,"The coupling constant hyperparameter K ranges from 0 to 10 and the depolarization coefficient alpha_dep is in (0,1), with the predefined ground-truth hyperparameter set for the theory-theory experiment being K = 3, alpha_dep = 0.5.",SUPPORTED,"Slautin/2024_Co-navigation/1_Co_navigation_theory_theory.ipynb: 'a_dep = np.linspace(0.001, 1, 50)', 'coupl_coef = np.linspace(0.001, 1, 50) # K nearest neighbors coupling const' with the value rescaled when passed to the model and plotted ('model_res = [lambda_y(xx, adj_p[0]*10, adj_p[1]) ...]', 'c_const = coupl*10', 'ax.scatter(coord_out[seeds_out][:,0]*10, ...)'); the ground-truth marker is plo",R2,"K is stored normalized to (0,1) in the search grid and multiplied by 10 at model-call and plot time, so 0.3 -> K=3 and alpha_dep=0.5 as the paper states."
2404.12899,A4_physical_life_sciences,c6,DATASET,"The study used a pre-acquired ground-truth BEPS dataset of local ferroelectric hysteresis loops measured on a 60x60 grid covering a 4.2x4.2 micrometre area, and this dataset drives the theory-experiment simulation.",SUPPORTED,"Slautin/2024_Co-navigation/2_Co_navigation_experiment_theory.ipynb: '!gdown https://drive.google.com/file/d/1t1_-ZUOM349HEbjvyAwaZfXBN7FRJwMP/view?usp=sharing --fuzzy', ""with h5py.File(r'/content/BEPS_1d7um_0009.h5', 'r+') as h5_BEPS1"", 'p_offfield1_av = p_offfield1[:,:,1:].mean(2)[:60,:60]', 'st_im = p_offfield1[:,:,0,0][:60,:60]', and 'length = len(patch_image[0])/4.2'. The Google Drive file pag",R2,"The 60x60 grid and 4.2 micrometre field of view are reproduced in the loading code, though the HDF5 file itself is hosted on Google Drive rather than inside either repository."
2404.12899,A4_physical_life_sciences,c7,EXTERNAL_VALIDATION,"The PbTiO3 thin film on a KTaO3 substrate with a conductive SrRuO3 interlayer was fabricated by chemical vapour deposition, and BEPS measurements were performed on an Asylum Research Cypher microscope using Multi75E-G Cr/Pt probes with stiffness ~3 N/m.",UNVERIFIABLE,Sample growth by CVD and the identity/calibration of the scanning probe instrument and cantilever are physical laboratory facts; neither ziatdinovmax/gpax (a JAX/NumPyro GP library) nor the paper's notebook repository is a kind of artifact that could evidence them. The notebook only consumes an already-acquired HDF5 file (BEPS_1d7um_0009.h5).,R2,Correctly outside what a code repository can settle; this is not a criticism of the paper.
2405.06724,A4_physical_life_sciences,c1,ARTIFACT_RELEASE,"Source code and data are accessible on https://github.com/lun-ai/BMLP_active/ (BMLPactive, the first logic programming system able to operate on a state-of-the-art GEM).",SUPPORTED,"Repository lun-ai/BMLP_active is public with 132 files; README.md documents the framework, dependencies (SWI-Prolog >= 9.2), usage commands and a Reproducibility section pointing to scripts/ (data_limited.sh, material_limited.sh, isoenz_learning.sh, runtime.sh, result_analysis.ipynb); LICENSE.txt (MIT); active-learning loop in src/framework/abduction/ (ase.pl, exp_select.pl, rand.pl, trial_ec.pl) ",R2,"Both code (src/framework/*) and data/outputs (experiments/iML1515/**, src/models/iML1515/*) are present as the paper states."
