item_id,arxiv_id,verifier,corruption,flagged,note
a2-0000,2607.16262,fable,none,0,"Autonomous multi-stage discovery engine claiming a new biological finding; include/IC1, SYSTEM, L3, DISCOVERY all fit."
a2-0001,2511.04583,fable,none,0,Autonomous AI scientist running ideation-to-paper from a seed paper; SYSTEM/L3/CAPABILITY is defensible (L4 arguable but not clearly required).
a2-0002,2601.22638,fable,none,0,"Multi-agent automated peer review system evaluated on ICLR submissions; IC1 peer-review stage, SYSTEM/L1_STAGE/CAPABILITY fit."
a2-0003,2603.29632,fable,none,0,Empirical comparison of multi-agent architectures for automated research yielding design guidelines; FRAMEWORK/NA/METHOD defensible.
a2-0004,2605.26870,fable,none,1,"Autonomy is overstated: this is a human-driven persistent workspace (8k+ user turns, researcher makes the research judgments), so it should be L0_ASSISTIVE and arguably excludable under EC6_ASSISTIVE."
a2-0005,2605.10899,fable,none,1,"Autonomy NA is wrong: the paper presents RubricEM-8B, a deep research agent that plans, gathers evidence, reviews and synthesizes reports, so at least L1_STAGE (plausibly L2)."
a2-0006,2601.09688,fable,none,0,Automated task construction plus agentic evaluation for deep research systems; IC2/BENCHMARK/NA/METHOD correct.
a2-0007,2510.06135,fable,none,0,Test-time scaling technique applied to existing deep search agents; FRAMEWORK/NA/METHOD defensible and in scope as deep research.
a2-0008,2605.16217,fable,none,0,New deep research agent system for evidence gathering and synthesis; SYSTEM/L1_STAGE/CAPABILITY fit.
a2-0009,2502.14499,fable,none,0,Gym environment and benchmark for AI research agents; IC2/BENCHMARK/NA/METHOD correct.
a2-0010,2507.08350,fable,none,0,Design study of multi-agent ideation dialogues producing guidelines; IC1/FRAMEWORK/NA/METHOD defensible.
a2-0011,2505.23852,fable,none,0,Autonomous agent team writing and executing code to reproduce published findings; SYSTEM/L3/CAPABILITY defensible.
a2-0012,2605.25964,fable,CODE_DRIFT,0,Method for automated scientific introduction writing framed within AI-scientist pipelines; FRAMEWORK/NA/CAPABILITY is defensible.
a2-0013,2505.11718,fable,none,0,Trained model generating peer reviews end-to-end; SYSTEM/L1_STAGE/CAPABILITY fit IC1.
a2-0014,2510.24701,fable,none,0,"Deep research agent model, in scope per the deep-research rule; SYSTEM/L1_STAGE/CAPABILITY correct."
