item,arxiv_id,stratum,ai_decision,ai_reason,rule,human_verdict,human_note
1,2507.05495,REVERSAL,exclude,EC9_GENERIC_DEEPRESEARCH,BR7,,
2,2403.04382,REVERSAL,exclude,EC6_ASSISTIVE,BR1,,
3,2511.11793,EXCLUDE,exclude,EC9_GENERIC_DEEPRESEARCH,BR7,,
4,2503.01508,INCLUDE,include,IC2,none,,
5,2601.03540,INCLUDE,include,IC2,BR7,,
6,2503.03503,EXCLUDE,exclude,EC2,BR4,,
7,2403.16851,EXCLUDE,exclude,EC7_HUMAN_AI_USE,BR5,,
8,2411.15221,EXCLUDE,exclude,EC2,none,,
9,2403.13815,INCLUDE,include,IC1,BR4,,
10,2601.12152,REVERSAL,exclude,EC6_ASSISTIVE,BR1,,
11,2506.20608,EXCLUDE,exclude,EC6_ASSISTIVE,BR1,,
12,2405.00706,EXCLUDE,exclude,EC3,none,,
13,2606.04751,REVERSAL,exclude,EC1,BR2,,
14,2510.18003,INCLUDE,include,IC3,BR5,,
15,2402.07282,EXCLUDE,exclude,EC1,none,,
16,2505.17968,REVERSAL,exclude,EC1,BR2,,
17,2402.05200,INCLUDE,include,IC3,none,,
18,2511.21444,INCLUDE,include,IC1,none,,
19,2603.15916,REVERSAL,exclude,EC8_GENERIC_ANALYSIS,BR6,,
20,2605.30537,EXCLUDE,exclude,EC1,none,,
21,2507.16075,REVERSAL,exclude,EC9_GENERIC_DEEPRESEARCH,BR7,,
22,2604.24618,INCLUDE,include,IC3,BR5,,
23,2606.11176,EXCLUDE,exclude,EC8_GENERIC_ANALYSIS,BR6,,
24,2607.10144,INCLUDE,include,IC2,none,,
25,2606.13710,REVERSAL,exclude,EC9_GENERIC_DEEPRESEARCH,BR7,,
26,2604.22026,INCLUDE,include,IC3,BR5,,
27,2603.22648,REVERSAL,exclude,EC6_ASSISTIVE,BR3,,
28,2506.13474,EXCLUDE,exclude,EC1,none,,
29,2512.03065,EXCLUDE,exclude,EC1,BR1,,
30,2605.18144,INCLUDE,include,IC1,BR2,,
31,2604.28031,INCLUDE,include,IC2,BR2,,
32,2512.16969,INCLUDE,include,IC2,none,,
33,2606.19893,EXCLUDE,exclude,EC9_GENERIC_DEEPRESEARCH,BR7,,
34,2606.17029,EXCLUDE,exclude,EC9_GENERIC_DEEPRESEARCH,BR7,,
35,2604.03159,INCLUDE,include,IC2,BR5,,
36,2602.07943,INCLUDE,include,IC1,BR2,,
37,2606.11045,REVERSAL,exclude,EC8_GENERIC_ANALYSIS,BR6,,
38,2506.05999,INCLUDE,include,IC1,BR4,,
39,2602.01075,EXCLUDE,exclude,EC1,BR2,,
40,2512.14220,EXCLUDE,exclude,EC1,none,,
