item_id,arxiv_id,corruption
a2-0000,2607.16262,none
a2-0001,2511.04583,none
a2-0002,2601.22638,none
a2-0003,2603.29632,none
a2-0004,2605.26870,none
a2-0005,2605.10899,none
a2-0006,2601.09688,none
a2-0007,2510.06135,none
a2-0008,2605.16217,none
a2-0009,2502.14499,none
a2-0010,2507.08350,none
a2-0011,2505.23852,none
a2-0012,2605.25964,CODE_DRIFT
a2-0013,2505.11718,none
a2-0014,2510.24701,none
a2-0015,2604.15411,none
a2-0016,2604.21068,none
a2-0017,2601.21654,none
a2-0018,2504.21776,none
a2-0019,2606.17076,none
a2-0020,2606.26294,none
a2-0021,2605.03202,none
a2-0022,2604.19792,none
a2-0023,2510.15280,none
a2-0024,2512.00986,none
a2-0025,2606.19893,none
a2-0026,2606.24894,none
a2-0027,2606.02060,none
a2-0028,2606.26448,none
a2-0029,2509.24978,none
a2-0030,2511.14631,none
a2-0031,2605.21820,none
a2-0032,2605.14790,none
a2-0033,2412.07978,none
a2-0034,2510.26887,REASON_SWAP
a2-0035,2606.07462,none
a2-0036,2603.12618,none
a2-0037,2504.01848,CODE_DRIFT
a2-0038,2607.00924,none
a2-0039,2501.04306,none
a2-0040,2602.02636,none
a2-0041,2507.16248,none
a2-0042,2607.04508,none
a2-0043,2603.16120,none
a2-0044,2402.05200,none
a2-0045,2607.11079,none
a2-0046,2511.07327,none
a2-0047,2607.05762,none
a2-0048,2601.12542,none
a2-0049,2506.21763,none
a2-0050,2605.17373,REASON_SWAP
a2-0051,2507.10522,none
a2-0052,2603.07416,none
a2-0053,2605.11518,none
a2-0054,2603.26177,none
a2-0055,2602.19810,none
a2-0056,2606.29746,none
a2-0057,2408.06292,none
a2-0058,2507.05241,FLIP
a2-0059,2508.11987,none
a2-0060,2604.22861,none
a2-0061,2511.11793,none
a2-0062,2502.04644,none
a2-0063,2603.20101,none
a2-0064,2602.07943,none
a2-0065,2604.20441,CODE_DRIFT
a2-0066,2603.07444,none
a2-0067,2601.01678,REASON_SWAP
a2-0068,2504.01911,none
a2-0069,2503.01508,none
a2-0070,2510.14861,none
a2-0071,2510.18104,none
a2-0072,2410.09403,CODE_DRIFT
a2-0073,2606.26246,none
a2-0074,2511.13825,none
a2-0075,2506.20249,none
a2-0076,2605.26029,none
a2-0077,2511.02238,none
a2-0078,2602.18446,none
a2-0079,2605.30329,none
a2-0080,2510.08619,none
a2-0081,2503.16041,none
a2-0082,2607.12301,REASON_SWAP
a2-0083,2407.08940,none
a2-0084,2506.11113,none
a2-0085,2509.08713,none
a2-0086,2605.11532,none
a2-0087,2510.06579,none
a2-0088,2507.08870,none
a2-0089,2603.08127,none
a2-0090,2510.16080,none
a2-0091,2411.11910,none
a2-0092,2502.18864,none
a2-0093,2601.05356,none
a2-0094,2508.06960,none
a2-0095,2505.15047,none
a2-0096,2604.17931,none
a2-0097,2412.14141,none
a2-0098,2511.05498,none
a2-0099,2510.00620,REASON_SWAP
a2-0100,2602.15019,none
a2-0101,2606.08671,none
a2-0102,2605.23917,none
a2-0103,2407.12857,none
a2-0104,2605.21491,none
a2-0105,2504.12345,none
a2-0106,2601.03743,REASON_SWAP
a2-0107,2505.08341,none
a2-0108,2510.21652,none
a2-0109,2503.18102,none
a2-0110,2508.14880,REASON_SWAP
a2-0111,2504.03810,none
a2-0112,2511.02071,none
a2-0113,2504.03160,none
a2-0114,2602.15061,none
a2-0115,2604.03338,none
a2-0116,2604.11753,none
a2-0117,2404.08680,none
a2-0118,2509.25281,none
a2-0119,2607.02520,none
a2-0120,2604.16982,CODE_DRIFT
a2-0121,2604.09793,none
a2-0122,2606.09748,none
a2-0123,2601.01357,none
a2-0124,2606.10159,none
a2-0125,2602.11685,none
a2-0126,2605.30727,none
a2-0127,2506.06287,none
a2-0128,2502.09858,none
a2-0129,2508.06600,none
a2-0130,2607.16038,none
a2-0131,2603.01050,CODE_DRIFT
a2-0132,2604.17745,none
a2-0133,2606.19899,none
a2-0134,2603.18273,none
a2-0135,2505.16982,none
a2-0136,2505.04651,none
a2-0137,2502.14297,none
a2-0138,2602.07983,none
a2-0139,2606.05241,none
a2-0140,2607.05682,none
a2-0141,2508.01746,none
a2-0142,2507.04410,none
a2-0143,2604.27297,none
a2-0144,2601.20975,none
a2-0145,2606.05238,none
a2-0146,2603.28361,none
a2-0147,2510.08521,none
a2-0148,2510.04997,none
a2-0149,2510.14240,none
a2-0150,2606.07591,none
a2-0151,2603.15726,FLIP
a2-0152,2508.04575,REASON_SWAP
a2-0153,2511.09325,REASON_SWAP
a2-0154,2603.15164,none
a2-0155,2601.12030,none
a2-0156,2601.18467,none
a2-0157,2607.12113,none
a2-0158,2507.18074,none
a2-0159,2509.04499,none
a2-0160,2603.03655,none
a2-0161,2510.13081,none
a2-0162,2501.01451,none
