arxiv_id,area,claim_id,claim_type,claim_text,verdict,evidence,level_reached,note
2404.08680,A8_scholarly_record,c1,ARTIFACT_RELEASE,"""Releasing a Python package to facilitate data curation for LLM fine-tuning, tailored for the unique requirements of SLRs"" at https://github.com/peterjhwang/slr-helper (footnotes 2 and 11: ""The tool is publicly available here"").",SUPPORTED,"README.md (""This system is designed to help with the creation of SLR fine-tuning training dataset and test dataset""), src/app.py, requirements.txt (gradio==4.17.0, openai==1.11.1, pdfminer-six==20231228), plus 9 service modules under src/services/ and 8 prompt configs under src/resources/prompts_v1.0/.",R2,The public repository exists and its stated scope (dataset curation for fine-tuning) matches the paper's release claim.
2404.08680,A8_scholarly_record,c2,METHOD_COMPONENT,"Step 2a: a program automatically extracts paper metadata, produces per-paper summaries, generates questions common across all papers, answers them per paper, generates chunk- and paragraph-level paper Q&A pairs, and collates answers into SLR-level Q&A pairs.",SUPPORTED,"src/services/metadata_service.py, summary_service.py, paper_level_service.py, section_level_service.py, slr_level_service.py; prompt configs src/resources/prompts_v1.0/metadata_prompt.json (""Extract the metadata from the article provided...""), individual_summary.json, slr_questions.json, paper_Q&A_prompt.json, section_Q&A_prompt.json, slr_Q&A.json, slr_combine_Q&A.json. slr_level_service.py collat",R2,Every named stage of the extraction pipeline has a corresponding service module and prompt file.
2404.08680,A8_scholarly_record,c3,METHOD_COMPONENT,Step 2b: unique tokens are inserted as knowledge markers - a corpus-wide identifier (e.g. '2023SLR') and a paper-level token (e.g. 'aljohani2019integrated') - with a source citation appended to each output ('Source: aljohani2019integrated').,SUPPORTED,"src/services/token_and_marker_service.py builds instructions as f""According to the {special_token} dataset, "" f""in the {source_tag} paper, "" and appends + "" Source: "" + source_tag to the output; UI entry point src/views/token_and_marker_view.py. slr_level_service.py likewise appends f""{...['answer']} Source: {source}"".",R2,The token/marker formatting in the code matches the example Q&A data point printed in Section 4.2.1 of the paper.
2404.08680,A8_scholarly_record,c4,METHOD_COMPONENT,"Step 2c: ""for each original question, we generated ten alternative formulations"", retaining the same answer for each permutation.",SUPPORTED,"src/services/paraphrase_service.py: create_paraphrased_questions(project_id, number_of_paraphrased_questions) substitutes {{number_of_paraphrased_questions}} into the system prompt (src/resources/prompts_v1.0/paraphrase_prompt.json) and pairs each generated question with the same unchanged answer; src/views/paraphrase_view.py sets value=10 with choices=[3, 5, 10, 15, 20].",R2,"The paraphrase count is configurable, and the shipped default of 10 is the value the paper reports for the training set."
2404.08680,A8_scholarly_record,c5,DATASET,"The extraction produced 1503 initial Q&A samples (28% paper-summary-level, 49% paper-level chunk, 31% paper-level paragraph, 2% SLR-level), a final training dataset of 16423 samples, and a test dataset of 4962 data points, derived from 17 PDF papers of the gold-standard SLR.",NOT_LOCATED,"Searched the complete 39-file repository listing (repository reported as untruncated) for any data directory, .csv, .jsonl, or dataset .json outside src/resources/prompts_v1.0/: none present - the only .json files are the 8 prompt configs. Fetched src/views/test_data_view.py, which reads data/{project_id}/test_data.csv, i.e. a runtime output path with no committed contents; .gitignore is present a",R2,The repository ships the generation code but I found no committed copy of the generated 1503/16423/4962-sample datasets or their level distribution.
2404.08680,A8_scholarly_record,c6,EXTERNAL_VALIDATION,"The framework is validated by replicating a published PRISMA-conforming SLR (""Learning Analytics Dashboard: A Tool for Providing Actionable Insights to Learners"", 17 papers) used as a gold standard, with the authors' domain familiarity guaranteeing the veracity of LLM responses.",UNVERIFIABLE,"The claim rests on expert comparison of LLM outputs against a previously published human-conducted SLR; the released artifact (github.com/peterjhwang/slr-helper) is a generic Gradio data-curation tool with no case-study corpus, no gold-standard answers and no adjudication records, so this is not the kind of claim a code repository could evidence.",R1,"Expert replication judgement is outside what this artifact could contain; this is a statement about the check, not about the paper."
2404.08680,A8_scholarly_record,c7,METHOD_COMPONENT,"Metadata extraction, summarisation, question generation and answer generation were performed ""via OpenAI's GPT-4 API calls"" (Section 4.2).",DIVERGENT,"src/resources/prompts_v1.0/metadata_prompt.json and src/resources/prompts_v1.0/slr_questions.json both specify ""model"": ""gpt-4o"", whereas the paper (dated April 2024) states GPT-4. Same OpenAI family and API, different model identifier.",R2,"gpt-4o postdates the preprint, so the most likely explanation is that the repository's prompt configs were updated after publication."
2405.20477,A8_scholarly_record,c1,ARTIFACT_RELEASE,"The paper releases SWIF2T, its scientific writing focused feedback tool, at https://github.com/ericchamoun/FocusedFeedbackGeneration (footnote 1).",SUPPORTED,"ericchamoun/FocusedFeedbackGeneration@main: public repo with README.md, LICENSE, requirements.txt, config.py, run.py, and packages agents/, plan_reranking_inference/, room/, utils/ (23 tree paths listed via the GitHub trees API). README cites arXiv:2405.20477 and gives Python 3.12.1 setup plus `python run.py` instructions.",R2,The artifact link in the paper resolves to a populated public repository implementing SWIF2T.
2405.20477,A8_scholarly_record,c2,METHOD_COMPONENT,"Our approach consists of four components - planner, investigator, reviewer and controller - leveraging multiple LLMs to implement them, with the controller managing the plan's progress after each step.",SUPPORTED,"agents/planner.py, agents/reviewer.py, agents/controller.py, and the investigator implemented as agents/search_agent.py plus agents/question_answerer.py (all subclassing agents/agent.py); plan/step execution in room/plan.py, room/step.py, room/room.py.",R2,All four described components exist as separate modules; the investigator is split into a search agent and a question-answering agent.
2405.20477,A8_scholarly_record,c3,METHOD_COMPONENT,During inference the planner generates multiple plans and the system selects the one with the highest score through pointwise inference using our trained re-ranker.,SUPPORTED,"agents/planner.py generates candidates in a loop over `number_plans_to_rerank` (default 4) and selects `best_plan_index = np.argmax(logits)`; scoring is done by plan_reranking_inference/prediction.py (model.eval(), logits[:,1] and torch.softmax(logits,dim=1)[:,1]) with plan_reranking_inference/planner_reranking.py and dataset.py; README directs the user to download the trained re-ranking model int",R2,"Re-ranker inference and best-plan selection are implemented; the re-ranker training loop itself is not in the repo, only the downloadable trained checkpoint."
