arxiv_id,verifier,producer,redone,original,self,agree,guessed_self
2505.20538,fable,fable,include,include,1,1,unknown
2605.27935,fable,opus,exclude,exclude,0,1,unknown
2604.11307,fable,fable,include,include,1,1,unknown
2511.18259,fable,opus,include,include,0,1,unknown
2510.06056,fable,fable,include,include,1,1,unknown
2601.20996,fable,opus,include,include,0,1,unknown
2503.01508,fable,fable,include,include,1,1,unknown
2606.22883,fable,opus,exclude,exclude,0,1,unknown
2604.09554,fable,fable,include,include,1,1,unknown
2505.04651,fable,opus,include,include,0,1,unknown
2607.08700,fable,fable,include,include,1,1,unknown
2507.08870,fable,opus,include,include,0,1,unknown
2605.11532,fable,fable,include,include,1,1,unknown
2501.10385,fable,opus,include,include,0,1,unknown
2504.05496,fable,fable,include,include,1,1,unknown
2505.20538,opus,fable,include,include,0,1,unknown
2605.27935,opus,opus,exclude,exclude,1,1,unknown
2604.11307,opus,fable,include,include,0,1,unknown
2511.18259,opus,opus,include,include,1,1,unknown
2510.06056,opus,fable,include,include,0,1,unknown
2601.20996,opus,opus,include,include,1,1,unknown
2503.01508,opus,fable,include,include,0,1,unknown
2606.22883,opus,opus,exclude,exclude,1,1,unknown
2604.09554,opus,fable,include,include,0,1,unknown
2505.04651,opus,opus,include,include,1,1,unknown
2607.08700,opus,fable,include,include,0,1,unknown
2507.08870,opus,opus,include,include,1,1,unknown
2605.11532,opus,fable,include,include,0,1,unknown
2501.10385,opus,opus,include,include,1,1,unknown
2504.05496,opus,fable,include,include,0,1,unknown
2508.13953,fable,opus,exclude,exclude,0,1,unknown
2510.03687,fable,fable,exclude,exclude,1,1,unknown
2502.14297,fable,opus,include,include,0,1,unknown
2509.04499,fable,fable,include,include,1,1,unknown
2509.13309,fable,opus,include,include,0,1,unknown
2510.18939,fable,fable,include,exclude,1,0,unknown
2505.19964,fable,opus,exclude,exclude,0,1,unknown
2604.24618,fable,fable,include,include,1,1,unknown
2503.05712,fable,opus,include,include,0,1,unknown
2509.13312,fable,fable,include,include,1,1,unknown
2602.15019,fable,opus,include,exclude,0,0,unknown
2509.01016,fable,fable,exclude,exclude,1,1,unknown
2511.09710,fable,opus,exclude,exclude,0,1,unknown
2605.26870,fable,fable,include,include,1,1,unknown
2501.04227,fable,opus,include,include,0,1,unknown
2508.13953,opus,opus,exclude,exclude,1,1,unknown
2510.03687,opus,fable,exclude,exclude,0,1,unknown
2502.14297,opus,opus,include,include,1,1,unknown
