arxiv_id,final_decision,final_reason,rule_applied,justification,layer1_A,layer1_B,layer1_agreement,reverses_unanimous_include
2401.01519,exclude,EC6_ASSISTIVE,BR1,"Broad review of LLMs as tools aiding human psychologists across research stages, not autonomous AI research systems.",borderline,borderline,needs_adjudication,0
2401.04022,exclude,EC7_HUMAN_AI_USE,BR5,"Network-based detection of human paper-mill authorship fraud, not integrity of AI-produced research.",exclude,exclude,agree,0
2401.05914,exclude,EC1,none,"Educational quiz question generation, an ordinary LLM application unrelated to research work.",exclude,exclude,agree,0
2401.11194,exclude,EC1,none,"Human-authored systematic review of platform algorithm audits, no AI research system as subject.",exclude,exclude,agree,0
2401.13481,exclude,EC6_ASSISTIVE,BR1,Human-subjects experiment on how AI-generated ideas influence human creativity; humans make the judgments.,exclude,exclude,agree,0
2401.13803,exclude,EC6_ASSISTIVE,BR1,LLM converts human experts' experimental ideations into microscope code; the human retains the research judgments.,borderline,include,needs_adjudication,0
2401.15284,exclude,EC7_HUMAN_AI_USE,BR5,"Ethics and documentation guidance for human researchers using generative AI, not AI-conducted research.",borderline,include,needs_adjudication,0
2402.00071,include,IC1,BR4,Studies the closed autonomous-experimentation decision loop (DKL-driven next-measurement choice) in scanning probe microscopy.,include,include,agree,0
2402.04247,include,IC3,none,Position and governance framework on risks and safeguards for autonomous AI scientists.,include,include,agree,0
2402.05200,include,IC3,none,Position paper and roadmap for LLM-driven hypothesis generation/testing and self-driving materials labs.,borderline,include,needs_adjudication,0
2402.06025,exclude,EC1,BR2,"Rule-learning and experiment design on a toy Zendo task framed as cognitive modeling, not a scientific domain.",borderline,borderline,needs_adjudication,0
2402.06359,exclude,EC1,none,"Value-aware multi-agent systems formalism, unrelated to performing research.",exclude,exclude,agree,0
2402.07282,exclude,EC1,none,Study of LLM honesty/helpfulness trade-offs as a model property.,exclude,exclude,agree,0
2402.12391,include,IC1,BR6,Multi-agent LLM team autonomously runs the discovery pipeline on gene expression data to identify disease-predictive genes.,include,include,agree,0
2402.14424,include,IC1,BR2,Automated generation of scientific psychological hypotheses via LLM literature extraction plus causal-graph link prediction.,include,include,agree,0
